componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,258,516,BRC0092H,Nome não encontrado
Energia,kcal,61,122,BRC0092H,Nome não encontrado
Umidade,g,"92,7",185,BRC0092H,Nome não encontrado
Carboidrato total,g,"3,69","7,38",BRC0092H,Nome não encontrado
Carboidrato disponível,g,"3,26","6,51",BRC0092H,Nome não encontrado
Proteína,g,"1,57","3,15",BRC0092H,Nome não encontrado
Lipídios,g,"1,78","3,56",BRC0092H,Nome não encontrado
Fibra alimentar,g,"0,43","0,87",BRC0092H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0092H,Nome não encontrado
Cinzas,g,"0,34","0,68",BRC0092H,Nome não encontrado
Colesterol,mg,"6,19","12,4",BRC0092H,Nome não encontrado
Ácidos graxos saturados,g,"1,06","2,13",BRC0092H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,96",BRC0092H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,24",BRC0092H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0092H,Nome não encontrado
Cálcio,mg,"55,0",109,BRC0092H,Nome não encontrado
Ferro,mg,"0,08","0,16",BRC0092H,Nome não encontrado
Sódio,mg,"32,7","65,3",BRC0092H,Nome não encontrado
Magnésio,mg,"7,36","14,7",BRC0092H,Nome não encontrado
Fósforo,mg,"42,7","85,3",BRC0092H,Nome não encontrado
Potássio,mg,"87,7",175,BRC0092H,Nome não encontrado
Manganês,mg,"0,02","0,04",BRC0092H,Nome não encontrado
Zinco,mg,"0,20","0,40",BRC0092H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0092H,Nome não encontrado
Selênio,mcg,,,BRC0092H,Nome não encontrado
Vitamina A (RE),mcg,"24,8","49,6",BRC0092H,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","48,8",BRC0092H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0092H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0092H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0092H,Nome não encontrado
Riboflavina,mg,"0,12","0,24",BRC0092H,Nome não encontrado
Niacina,mg,"0,86","1,73",BRC0092H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0092H,Nome não encontrado
Vitamina B12,mcg,"0,19","0,37",BRC0092H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0092H,Nome não encontrado
Equivalente de folato,mcg,"2,59","5,18",BRC0092H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0092H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0092H,Nome não encontrado
Gordura de adição,g,-,-,BRC0092H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0092H,Nome não encontrado
Proteína animal,g,-,-,BRC0092H,Nome não encontrado
