componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,1417,283,BRC0106A,Nome não encontrado
Energia,kcal,336,67,BRC0106A,Nome não encontrado
Umidade,g,"9,59","1,92",BRC0106A,Nome não encontrado
Carboidrato total,g,"72,3","14,5",BRC0106A,Nome não encontrado
Carboidrato disponível,g,"57,2","11,4",BRC0106A,Nome não encontrado
Proteína,g,"13,8","2,76",BRC0106A,Nome não encontrado
Lipídios,g,"2,41","0,48",BRC0106A,Nome não encontrado
Fibra alimentar,g,"15,1","3,02",BRC0106A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0106A,Nome não encontrado
Cinzas,g,"1,89","0,38",BRC0106A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0106A,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,08",BRC0106A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,04",BRC0106A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,11","0,22",BRC0106A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0106A,Nome não encontrado
Cálcio,mg,"26,6","5,32",BRC0106A,Nome não encontrado
Ferro,mg,"2,41","0,48",BRC0106A,Nome não encontrado
Sódio,mg,"3,52","0,70",BRC0106A,Nome não encontrado
Magnésio,mg,"67,3","13,5",BRC0106A,Nome não encontrado
Fósforo,mg,247,"49,4",BRC0106A,Nome não encontrado
Potássio,mg,330,"66,1",BRC0106A,Nome não encontrado
Manganês,mg,"1,31","0,26",BRC0106A,Nome não encontrado
Zinco,mg,,,BRC0106A,Nome não encontrado
Cobre,mg,"0,12","0,02",BRC0106A,Nome não encontrado
Selênio,mcg,"2,31","0,46",BRC0106A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0106A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0106A,Nome não encontrado
Vitamina D,mcg,,,BRC0106A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,05",BRC0106A,Nome não encontrado
Tiamina,mg,"0,16","0,03",BRC0106A,Nome não encontrado
Riboflavina,mg,"0,08","0,02",BRC0106A,Nome não encontrado
Niacina,mg,"5,53","1,11",BRC0106A,Nome não encontrado
Vitamina B6,mg,"0,30","0,06",BRC0106A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0106A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0106A,Nome não encontrado
Equivalente de folato,mcg,"34,2","6,83",BRC0106A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0106A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0106A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0106A,Nome não encontrado
Proteína vegetal,g,"13,8","2,76",BRC0106A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0106A,Nome não encontrado
