componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1216,364,182,BRC0067G,Nome não encontrado
Energia,kcal,294,88,44,BRC0067G,Nome não encontrado
Umidade,g,"58,0","17,4","8,70",BRC0067G,Nome não encontrado
Carboidrato total,g,"2,20","0,66","0,33",BRC0067G,Nome não encontrado
Carboidrato disponível,g,"2,20","0,66","0,33",BRC0067G,Nome não encontrado
Proteína,g,"9,50","2,85","1,43",BRC0067G,Nome não encontrado
Lipídios,g,"27,5","8,25","4,13",BRC0067G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Cinzas,g,"2,80","0,84","0,42",BRC0067G,Nome não encontrado
Colesterol,mg,"79,4","23,8","11,9",BRC0067G,Nome não encontrado
Ácidos graxos saturados,g,"14,8","4,43","2,22",BRC0067G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,90","2,07","1,03",BRC0067G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,10","0,05",BRC0067G,Nome não encontrado
Ácidos graxos trans,g,"0,71","0,21","0,11",BRC0067G,Nome não encontrado
Cálcio,mg,291,"87,4","43,7",BRC0067G,Nome não encontrado
Ferro,mg,"0,12","0,04","0,02",BRC0067G,Nome não encontrado
Sódio,mg,572,171,"85,9",BRC0067G,Nome não encontrado
Magnésio,mg,"11,1","3,33","1,67",BRC0067G,Nome não encontrado
Fósforo,mg,459,137,"69,0",BRC0067G,Nome não encontrado
Potássio,mg,"95,5","28,7","14,3",BRC0067G,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00",BRC0067G,Nome não encontrado
Zinco,mg,"1,44","0,43","0,22",BRC0067G,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0067G,Nome não encontrado
Selênio,mcg,,,,BRC0067G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0067G,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0067G,Nome não encontrado
Vitamina D,mcg,"0,48","0,14","0,07",BRC0067G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,74","0,22","0,11",BRC0067G,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Riboflavina,mg,"0,20","0,06","0,03",BRC0067G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0067G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0067G,Nome não encontrado
Vitamina B12,mcg,"0,41","0,12","0,06",BRC0067G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Equivalente de folato,mcg,"12,1","3,64","1,82",BRC0067G,Nome não encontrado
Sal de adição,g,,,,BRC0067G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Gordura de adição,g,,,,BRC0067G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0067G,Nome não encontrado
Proteína animal,g,"9,50","2,85","1,43",BRC0067G,Nome não encontrado
