componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,169,404,278,BRC0041C,Nome não encontrado
Energia,kcal,40,95,65,BRC0041C,Nome não encontrado
Umidade,g,"89,7",215,147,BRC0041C,Nome não encontrado
Carboidrato total,g,"9,17","22,0","15,1",BRC0041C,Nome não encontrado
Carboidrato disponível,g,"8,74","21,0","14,4",BRC0041C,Nome não encontrado
Proteína,g,"0,72","1,72","1,18",BRC0041C,Nome não encontrado
Lipídios,g,"0,12","0,29","0,20",BRC0041C,Nome não encontrado
Fibra alimentar,g,"0,42","1,02","0,70",BRC0041C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Cinzas,g,"0,32","0,76","0,52",BRC0041C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,03","0,02",BRC0041C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0041C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,06","0,04",BRC0041C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Cálcio,mg,"7,74","18,6","12,8",BRC0041C,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0041C,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0041C,Nome não encontrado
Magnésio,mg,"10,9","26,1","18,0",BRC0041C,Nome não encontrado
Fósforo,mg,"16,2","39,0","26,8",BRC0041C,Nome não encontrado
Potássio,mg,128,308,212,BRC0041C,Nome não encontrado
Manganês,mg,"0,02","0,05","0,03",BRC0041C,Nome não encontrado
Zinco,mg,"0,03","0,07","0,05",BRC0041C,Nome não encontrado
Cobre,mg,"0,02","0,06","0,04",BRC0041C,Nome não encontrado
Selênio,mcg,"0,30","0,72","0,50",BRC0041C,Nome não encontrado
Vitamina A (RE),mcg,"0,25","0,60","0,41",BRC0041C,Nome não encontrado
Vitamina A (RAE),mcg,"0,13","0,30","0,21",BRC0041C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,06","0,04",BRC0041C,Nome não encontrado
Tiamina,mg,"0,10","0,24","0,17",BRC0041C,Nome não encontrado
Riboflavina,mg,"0,03","0,08","0,05",BRC0041C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0041C,Nome não encontrado
Vitamina B6,mg,"0,04","0,10","0,07",BRC0041C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Vitamina C,mg,"41,3","99,1","68,1",BRC0041C,Nome não encontrado
Equivalente de folato,mcg,"26,5","63,5","43,7",BRC0041C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0041C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0041C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0041C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0041C,Nome não encontrado
