componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1368,410,205,BRC0137G,Nome não encontrado
Energia,kcal,330,99,49,BRC0137G,Nome não encontrado
Umidade,g,"50,3","15,1","7,54",BRC0137G,Nome não encontrado
Carboidrato total,g,"3,05","0,92","0,46",BRC0137G,Nome não encontrado
Carboidrato disponível,g,"3,05","0,92","0,46",BRC0137G,Nome não encontrado
Proteína,g,"15,1","4,53","2,26",BRC0137G,Nome não encontrado
Lipídios,g,"28,6","8,59","4,29",BRC0137G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0137G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0137G,Nome não encontrado
Cinzas,g,"2,96","0,89","0,44",BRC0137G,Nome não encontrado
Colesterol,mg,"87,7","26,3","13,2",BRC0137G,Nome não encontrado
Ácidos graxos saturados,g,"16,5","4,95","2,47",BRC0137G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,88","2,36","1,18",BRC0137G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,23","0,11",BRC0137G,Nome não encontrado
Ácidos graxos trans,g,"0,80","0,24","0,12",BRC0137G,Nome não encontrado
Cálcio,mg,454,136,"68,1",BRC0137G,Nome não encontrado
Ferro,mg,"0,13","0,04","0,02",BRC0137G,Nome não encontrado
Sódio,mg,626,187,"93,9",BRC0137G,Nome não encontrado
Magnésio,mg,"17,3","5,19","2,59",BRC0137G,Nome não encontrado
Fósforo,mg,474,142,"71,2",BRC0137G,Nome não encontrado
Potássio,mg,"91,3","27,4","13,7",BRC0137G,Nome não encontrado
Manganês,mg,"0,02","0,01","0,00",BRC0137G,Nome não encontrado
Zinco,mg,"2,30","0,69","0,34",BRC0137G,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01",BRC0137G,Nome não encontrado
Selênio,mcg,"19,2","5,76","2,88",BRC0137G,Nome não encontrado
Vitamina A (RE),mcg,625,187,"93,8",BRC0137G,Nome não encontrado
Vitamina A (RAE),mcg,259,"78,0","39,0",BRC0137G,Nome não encontrado
Vitamina D,mcg,"0,51","0,15","0,08",BRC0137G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,70","0,21","0,10",BRC0137G,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00",BRC0137G,Nome não encontrado
Riboflavina,mg,"0,14","0,04","0,02",BRC0137G,Nome não encontrado
Niacina,mg,"0,02","0,01","0,00",BRC0137G,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0137G,Nome não encontrado
Vitamina B12,mcg,"0,68","0,20","0,10",BRC0137G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0137G,Nome não encontrado
Equivalente de folato,mcg,"17,9","5,37","2,68",BRC0137G,Nome não encontrado
Sal de adição,g,,,,BRC0137G,Nome não encontrado
Açúcar de adição,g,,,,BRC0137G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0137G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0137G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0137G,Nome não encontrado
