componente,unidade,Valor por 100g,Concha cheia (150 g),codigo_alimento,nome_alimento
Energia,kJ,662,992,BRC0922F,Nome não encontrado
Energia,kcal,158,237,BRC0922F,Nome não encontrado
Umidade,g,"70,8",106,BRC0922F,Nome não encontrado
Carboidrato total,g,"0,09","0,13",BRC0922F,Nome não encontrado
Carboidrato disponível,g,"0,09","0,13",BRC0922F,Nome não encontrado
Proteína,g,"18,2","27,3",BRC0922F,Nome não encontrado
Lipídios,g,"9,49","14,2",BRC0922F,Nome não encontrado
Fibra alimentar,g,"0,15","0,22",BRC0922F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0922F,Nome não encontrado
Cinzas,g,"1,26","1,89",BRC0922F,Nome não encontrado
Colesterol,mg,"59,8","89,7",BRC0922F,Nome não encontrado
Ácidos graxos saturados,g,"3,31","4,97",BRC0922F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,25","6,37",BRC0922F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,40","2,10",BRC0922F,Nome não encontrado
Ácidos graxos trans,g,,-,BRC0922F,Nome não encontrado
Cálcio,mg,"14,6","21,8",BRC0922F,Nome não encontrado
Ferro,mg,"2,43","3,65",BRC0922F,Nome não encontrado
Sódio,mg,235,352,BRC0922F,Nome não encontrado
Magnésio,mg,"21,3","31,9",BRC0922F,Nome não encontrado
Fósforo,mg,168,252,BRC0922F,Nome não encontrado
Potássio,mg,293,439,BRC0922F,Nome não encontrado
Manganês,mg,"0,05","0,08",BRC0922F,Nome não encontrado
Zinco,mg,"4,80","7,20",BRC0922F,Nome não encontrado
Cobre,mg,"0,17","0,25",BRC0922F,Nome não encontrado
Selênio,mcg,,-,BRC0922F,Nome não encontrado
Vitamina A (RE),mcg,,-,BRC0922F,Nome não encontrado
Vitamina A (RAE),mcg,,-,BRC0922F,Nome não encontrado
Vitamina D,mcg,,-,BRC0922F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,-,BRC0922F,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0922F,Nome não encontrado
Riboflavina,mg,"0,04","0,06",BRC0922F,Nome não encontrado
Niacina,mg,"2,08","3,12",BRC0922F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0922F,Nome não encontrado
Vitamina B12,mcg,,-,BRC0922F,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0922F,Nome não encontrado
Equivalente de folato,mcg,,-,BRC0922F,Nome não encontrado
Sal de adição,g,"0,45","0,68",BRC0922F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0922F,Nome não encontrado
Gordura de adição,g,-,-,BRC0922F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0922F,Nome não encontrado
Proteína animal,g,-,-,BRC0922F,Nome não encontrado
