componente,unidade,Valor por 100g,Colher servir cheia (90 g),codigo_alimento,nome_alimento
Energia,kJ,462,415,BRC0456A,Nome não encontrado
Energia,kcal,110,98,BRC0456A,Nome não encontrado
Umidade,g,"71,9","64,7",BRC0456A,Nome não encontrado
Carboidrato total,g,"22,2","20,0",BRC0456A,Nome não encontrado
Carboidrato disponível,g,"18,1","16,3",BRC0456A,Nome não encontrado
Proteína,g,"3,54","3,19",BRC0456A,Nome não encontrado
Lipídios,g,"1,65","1,49",BRC0456A,Nome não encontrado
Fibra alimentar,g,"4,05","3,65",BRC0456A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0456A,Nome não encontrado
Cinzas,g,"0,73","0,66",BRC0456A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0456A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,27",BRC0456A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,35","0,32",BRC0456A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,89","0,80",BRC0456A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0456A,Nome não encontrado
Cálcio,mg,"17,0","15,3",BRC0456A,Nome não encontrado
Ferro,mg,"0,84","0,75",BRC0456A,Nome não encontrado
Sódio,mg,221,199,BRC0456A,Nome não encontrado
Magnésio,mg,"33,9","30,5",BRC0456A,Nome não encontrado
Fósforo,mg,"57,5","51,8",BRC0456A,Nome não encontrado
Potássio,mg,153,138,BRC0456A,Nome não encontrado
Manganês,mg,"0,65","0,58",BRC0456A,Nome não encontrado
Zinco,mg,"0,62","0,56",BRC0456A,Nome não encontrado
Cobre,mg,"0,18","0,16",BRC0456A,Nome não encontrado
Selênio,mcg,"0,85","0,76",BRC0456A,Nome não encontrado
Vitamina A (RE),mcg,"0,13","0,12",BRC0456A,Nome não encontrado
Vitamina A (RAE),mcg,"0,07","0,06",BRC0456A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0456A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,49",BRC0456A,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0456A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0456A,Nome não encontrado
Niacina,mg,traços,traços,BRC0456A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0456A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0456A,Nome não encontrado
Vitamina C,mg,"0,45","0,40",BRC0456A,Nome não encontrado
Equivalente de folato,mcg,"48,5","43,6",BRC0456A,Nome não encontrado
Sal de adição,g,"0,47","0,42",BRC0456A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0456A,Nome não encontrado
Gordura de adição,g,-,-,BRC0456A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0456A,Nome não encontrado
Proteína animal,g,-,-,BRC0456A,Nome não encontrado
