componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,822,139,90,197,115,BRC0179A,Nome não encontrado
Energia,kcal,195,33,21,46,27,BRC0179A,Nome não encontrado
Umidade,g,"53,9","9,16","5,92","12,9","7,54",BRC0179A,Nome não encontrado
Carboidrato total,g,"32,4","5,51","3,56","7,77","4,54",BRC0179A,Nome não encontrado
Carboidrato disponível,g,"27,9","4,75","3,07","6,71","3,91",BRC0179A,Nome não encontrado
Proteína,g,"7,50","1,27","0,82","1,80","1,05",BRC0179A,Nome não encontrado
Lipídios,g,"4,97","0,85","0,55","1,19","0,70",BRC0179A,Nome não encontrado
Fibra alimentar,g,"4,45","0,76","0,49","1,07","0,62",BRC0179A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0179A,Nome não encontrado
Cinzas,g,"1,27","0,22","0,14","0,31","0,18",BRC0179A,Nome não encontrado
Colesterol,mg,"10,6","1,81","1,17","2,56","1,49",BRC0179A,Nome não encontrado
Ácidos graxos saturados,g,"2,67","0,45","0,29","0,64","0,37",BRC0179A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,20","0,20","0,13","0,29","0,17",BRC0179A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,41","0,07","0,04","0,10","0,06",BRC0179A,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,02","0,02","0,03","0,02",BRC0179A,Nome não encontrado
Cálcio,mg,"2,51","0,43","0,28","0,60","0,35",BRC0179A,Nome não encontrado
Ferro,mg,"1,29","0,22","0,14","0,31","0,18",BRC0179A,Nome não encontrado
Sódio,mg,189,"32,2","20,8","45,4","26,5",BRC0179A,Nome não encontrado
Magnésio,mg,"30,4","5,17","3,35","7,30","4,26",BRC0179A,Nome não encontrado
Fósforo,mg,128,"21,8","14,1","30,8","18,0",BRC0179A,Nome não encontrado
Potássio,mg,210,"35,7","23,1","50,4","29,4",BRC0179A,Nome não encontrado
Manganês,mg,"0,13","0,02","0,01","0,03","0,02",BRC0179A,Nome não encontrado
Zinco,mg,"0,59","0,10","0,06","0,14","0,08",BRC0179A,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01","0,01","0,01",BRC0179A,Nome não encontrado
Selênio,mcg,"0,62","0,11","0,07","0,15","0,09",BRC0179A,Nome não encontrado
Vitamina A (RE),mcg,"93,8","16,0","10,3","22,5","13,1",BRC0179A,Nome não encontrado
Vitamina A (RAE),mcg,"72,1","12,3","7,93","17,3","10,1",BRC0179A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0179A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,03","0,02","0,04","0,02",BRC0179A,Nome não encontrado
Tiamina,mg,"0,31","0,05","0,03","0,07","0,04",BRC0179A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0179A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0179A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,00","0,01","0,01",BRC0179A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,00","0,00","0,00",BRC0179A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0179A,Nome não encontrado
Equivalente de folato,mcg,"50,9","8,66","5,60","12,2","7,13",BRC0179A,Nome não encontrado
Sal de adição,g,"0,47","0,08","0,05","0,11","0,07",BRC0179A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0179A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0179A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0179A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0179A,Nome não encontrado
