componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,230,46,299,BRC0128T,Nome não encontrado
Energia,kcal,55,11,71,BRC0128T,Nome não encontrado
Umidade,g,"84,1","16,8",109,BRC0128T,Nome não encontrado
Carboidrato total,g,"10,6","2,11","13,7",BRC0128T,Nome não encontrado
Carboidrato disponível,g,"4,52","0,90","5,88",BRC0128T,Nome não encontrado
Proteína,g,"3,61","0,72","4,69",BRC0128T,Nome não encontrado
Lipídios,g,"1,18","0,24","1,53",BRC0128T,Nome não encontrado
Fibra alimentar,g,"6,04","1,21","7,85",BRC0128T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0128T,Nome não encontrado
Cinzas,g,"0,60","0,12","0,78",BRC0128T,Nome não encontrado
Colesterol,mg,"0,61","0,12","0,79",BRC0128T,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,04","0,28",BRC0128T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,27","0,05","0,35",BRC0128T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,65","0,13","0,84",BRC0128T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0128T,Nome não encontrado
Cálcio,mg,"22,3","4,47","29,0",BRC0128T,Nome não encontrado
Ferro,mg,"1,09","0,22","1,41",BRC0128T,Nome não encontrado
Sódio,mg,"2,28","0,46","2,97",BRC0128T,Nome não encontrado
Magnésio,mg,"29,3","5,87","38,1",BRC0128T,Nome não encontrado
Fósforo,mg,"67,1","13,4","87,3",BRC0128T,Nome não encontrado
Potássio,mg,199,"40,0",259,BRC0128T,Nome não encontrado
Manganês,mg,"0,27","0,05","0,35",BRC0128T,Nome não encontrado
Zinco,mg,"1,38","0,28","1,79",BRC0128T,Nome não encontrado
Cobre,mg,"0,40","0,08","0,52",BRC0128T,Nome não encontrado
Selênio,mcg,"1,94","0,39","2,52",BRC0128T,Nome não encontrado
Vitamina A (RE),mcg,"21,1","4,23","27,5",BRC0128T,Nome não encontrado
Vitamina A (RAE),mcg,"10,9","2,17","14,1",BRC0128T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0128T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,03","0,17",BRC0128T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0128T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0128T,Nome não encontrado
Niacina,mg,"0,05","0,01","0,06",BRC0128T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0128T,Nome não encontrado
Vitamina B12,mcg,"0,02","0,00","0,02",BRC0128T,Nome não encontrado
Vitamina C,mg,"0,42","0,08","0,54",BRC0128T,Nome não encontrado
Equivalente de folato,mcg,"61,4","12,3","79,8",BRC0128T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0128T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0128T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0128T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0128T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0128T,Nome não encontrado
