componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,267,213,BRC0277T,Nome não encontrado
Energia,kcal,64,50,BRC0277T,Nome não encontrado
Umidade,g,"83,8","67,1",BRC0277T,Nome não encontrado
Carboidrato total,g,"10,5","8,43",BRC0277T,Nome não encontrado
Carboidrato disponível,g,"7,19","5,75",BRC0277T,Nome não encontrado
Proteína,g,"3,80","3,04",BRC0277T,Nome não encontrado
Lipídios,g,"1,44","1,15",BRC0277T,Nome não encontrado
Fibra alimentar,g,"3,36","2,68",BRC0277T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0277T,Nome não encontrado
Cinzas,g,"0,38","0,30",BRC0277T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0277T,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,18",BRC0277T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,26",BRC0277T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,85","0,68",BRC0277T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0277T,Nome não encontrado
Cálcio,mg,"10,3","8,27",BRC0277T,Nome não encontrado
Ferro,mg,"0,89","0,71",BRC0277T,Nome não encontrado
Sódio,mg,"0,79","0,63",BRC0277T,Nome não encontrado
Magnésio,mg,"13,6","10,9",BRC0277T,Nome não encontrado
Fósforo,mg,"64,9","51,9",BRC0277T,Nome não encontrado
Potássio,mg,144,115,BRC0277T,Nome não encontrado
Manganês,mg,"0,18","0,14",BRC0277T,Nome não encontrado
Zinco,mg,"0,69","0,55",BRC0277T,Nome não encontrado
Cobre,mg,"0,11","0,09",BRC0277T,Nome não encontrado
Selênio,mcg,"0,05","0,04",BRC0277T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0277T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0277T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0277T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,18",BRC0277T,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0277T,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0277T,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0277T,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0277T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0277T,Nome não encontrado
Vitamina C,mg,"0,45","0,36",BRC0277T,Nome não encontrado
Equivalente de folato,mcg,"84,0","67,2",BRC0277T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0277T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0277T,Nome não encontrado
Gordura de adição,g,-,-,BRC0277T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0277T,Nome não encontrado
Proteína animal,g,-,-,BRC0277T,Nome não encontrado
