componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,161,48,32,16,BRC0893B,Nome não encontrado
Energia,kcal,39,11,7,3,BRC0893B,Nome não encontrado
Umidade,g,"89,5","26,8","17,9","8,95",BRC0893B,Nome não encontrado
Carboidrato total,g,"5,01","1,50","1,00","0,50",BRC0893B,Nome não encontrado
Carboidrato disponível,g,"2,08","0,62","0,42","0,21",BRC0893B,Nome não encontrado
Proteína,g,"2,50","0,75","0,50","0,25",BRC0893B,Nome não encontrado
Lipídios,g,"1,62","0,48","0,32","0,16",BRC0893B,Nome não encontrado
Fibra alimentar,g,"2,93","0,88","0,59","0,29",BRC0893B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Cinzas,g,"1,38","0,41","0,28","0,14",BRC0893B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,08","0,06","0,03",BRC0893B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,08","0,06","0,03",BRC0893B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,24","0,16","0,08",BRC0893B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Cálcio,mg,185,"55,6","37,1","18,5",BRC0893B,Nome não encontrado
Ferro,mg,"0,64","0,19","0,13","0,06",BRC0893B,Nome não encontrado
Sódio,mg,101,"30,3","20,2","10,1",BRC0893B,Nome não encontrado
Magnésio,mg,"36,0","10,8","7,20","3,60",BRC0893B,Nome não encontrado
Fósforo,mg,"40,8","12,2","8,15","4,08",BRC0893B,Nome não encontrado
Potássio,mg,520,156,104,"52,1",BRC0893B,Nome não encontrado
Manganês,mg,"0,33","0,10","0,07","0,03",BRC0893B,Nome não encontrado
Zinco,mg,"0,25","0,07","0,05","0,02",BRC0893B,Nome não encontrado
Cobre,mg,"0,07","0,02","0,01","0,01",BRC0893B,Nome não encontrado
Selênio,mcg,"0,29","0,09","0,06","0,03",BRC0893B,Nome não encontrado
Vitamina A (RE),mcg,389,116,"78,0","39,0",BRC0893B,Nome não encontrado
Vitamina A (RAE),mcg,195,"58,5","39,0","19,5",BRC0893B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","0,33","0,22","0,11",BRC0893B,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,01",BRC0893B,Nome não encontrado
Riboflavina,mg,"0,15","0,05","0,03","0,02",BRC0893B,Nome não encontrado
Niacina,mg,"1,05","0,32","0,21","0,11",BRC0893B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01",BRC0893B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Vitamina C,mg,"32,1","9,62","6,41","3,21",BRC0893B,Nome não encontrado
Equivalente de folato,mcg,"15,0","4,50","3,00","1,50",BRC0893B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0893B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0893B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0893B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0893B,Nome não encontrado
