componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,292,583,BRC0115H,Nome não encontrado
Energia,kcal,69,138,BRC0115H,Nome não encontrado
Umidade,g,"58,6",117,BRC0115H,Nome não encontrado
Carboidrato total,g,"10,7","21,3",BRC0115H,Nome não encontrado
Carboidrato disponível,g,"10,1","20,3",BRC0115H,Nome não encontrado
Proteína,g,"2,02","4,05",BRC0115H,Nome não encontrado
Lipídios,g,"2,18","4,36",BRC0115H,Nome não encontrado
Fibra alimentar,g,"0,53","1,06",BRC0115H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0115H,Nome não encontrado
Cinzas,g,"0,52","1,03",BRC0115H,Nome não encontrado
Colesterol,mg,"8,29","16,6",BRC0115H,Nome não encontrado
Ácidos graxos saturados,g,"1,35","2,70",BRC0115H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,63","1,26",BRC0115H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,16",BRC0115H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0115H,Nome não encontrado
Cálcio,mg,"84,6",169,BRC0115H,Nome não encontrado
Ferro,mg,"0,26","0,53",BRC0115H,Nome não encontrado
Sódio,mg,"43,6","87,1",BRC0115H,Nome não encontrado
Magnésio,mg,"8,74","17,5",BRC0115H,Nome não encontrado
Fósforo,mg,"56,3",112,BRC0115H,Nome não encontrado
Potássio,mg,104,208,BRC0115H,Nome não encontrado
Manganês,mg,"0,30","0,59",BRC0115H,Nome não encontrado
Zinco,mg,"0,29","0,57",BRC0115H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0115H,Nome não encontrado
Selênio,mcg,"3,25","6,50",BRC0115H,Nome não encontrado
Vitamina A (RE),mcg,"33,2","66,5",BRC0115H,Nome não encontrado
Vitamina A (RAE),mcg,"32,8","65,7",BRC0115H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0115H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,15",BRC0115H,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0115H,Nome não encontrado
Riboflavina,mg,"0,16","0,33",BRC0115H,Nome não encontrado
Niacina,mg,"1,03","2,06",BRC0115H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0115H,Nome não encontrado
Vitamina B12,mcg,"0,25","0,50",BRC0115H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0115H,Nome não encontrado
Equivalente de folato,mcg,"3,53","7,06",BRC0115H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0115H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0115H,Nome não encontrado
Gordura de adição,g,-,-,BRC0115H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0115H,Nome não encontrado
Proteína animal,g,-,-,BRC0115H,Nome não encontrado
