componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,317,759,522,633,BRC0104G,Nome não encontrado
Energia,kcal,75,179,123,149,BRC0104G,Nome não encontrado
Umidade,g,"81,0",194,133,162,BRC0104G,Nome não encontrado
Carboidrato total,g,"14,5","34,8","23,9","29,0",BRC0104G,Nome não encontrado
Carboidrato disponível,g,"13,9","33,4","23,0","27,8",BRC0104G,Nome não encontrado
Proteína,g,"3,09","7,41","5,10","6,18",BRC0104G,Nome não encontrado
Lipídios,g,"0,61","1,47","1,01","1,23",BRC0104G,Nome não encontrado
Fibra alimentar,g,"0,60","1,43","0,98","1,19",BRC0104G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Cinzas,g,"0,77","1,85","1,27","1,54",BRC0104G,Nome não encontrado
Colesterol,mg,"3,38","8,11","5,58","6,76",BRC0104G,Nome não encontrado
Ácidos graxos saturados,g,"0,15","0,35","0,24","0,29",BRC0104G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,19","0,13","0,16",BRC0104G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,10","0,07","0,08",BRC0104G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Cálcio,mg,125,301,207,251,BRC0104G,Nome não encontrado
Ferro,mg,"0,54","1,29","0,89","1,08",BRC0104G,Nome não encontrado
Sódio,mg,"52,8",126,"87,1",105,BRC0104G,Nome não encontrado
Magnésio,mg,"17,0","40,7","28,0","33,9",BRC0104G,Nome não encontrado
Fósforo,mg,"97,4",233,160,194,BRC0104G,Nome não encontrado
Potássio,mg,176,423,291,353,BRC0104G,Nome não encontrado
Manganês,mg,"0,06","0,13","0,09","0,11",BRC0104G,Nome não encontrado
Zinco,mg,"0,45","1,08","0,74","0,90",BRC0104G,Nome não encontrado
Cobre,mg,"0,07","0,18","0,12","0,15",BRC0104G,Nome não encontrado
Selênio,mcg,"0,27","0,65","0,45","0,54",BRC0104G,Nome não encontrado
Vitamina A (RE),mcg,"79,6",191,131,159,BRC0104G,Nome não encontrado
Vitamina A (RAE),mcg,"87,7",210,144,175,BRC0104G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,13","0,09","0,11",BRC0104G,Nome não encontrado
Tiamina,mg,"0,14","0,33","0,23","0,28",BRC0104G,Nome não encontrado
Riboflavina,mg,"0,10","0,24","0,17","0,20",BRC0104G,Nome não encontrado
Niacina,mg,"0,50","1,20","0,83","1,00",BRC0104G,Nome não encontrado
Vitamina B6,mg,"0,15","0,37","0,25","0,31",BRC0104G,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Equivalente de folato,mcg,"5,55","13,3","9,15","11,1",BRC0104G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0104G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0104G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0104G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0104G,Nome não encontrado
