componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,702,119,77,168,98,BRC0180A,Nome não encontrado
Energia,kcal,166,28,18,39,23,BRC0180A,Nome não encontrado
Umidade,g,"56,2","9,56","6,19","13,5","7,87",BRC0180A,Nome não encontrado
Carboidrato total,g,"34,3","5,83","3,77","8,22","4,80",BRC0180A,Nome não encontrado
Carboidrato disponível,g,"29,6","5,03","3,25","7,10","4,14",BRC0180A,Nome não encontrado
Proteína,g,"7,91","1,34","0,87","1,90","1,11",BRC0180A,Nome não encontrado
Lipídios,g,"0,73","0,12","0,08","0,18","0,10",BRC0180A,Nome não encontrado
Fibra alimentar,g,"4,70","0,80","0,52","1,13","0,66",BRC0180A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Cinzas,g,"0,85","0,14","0,09","0,20","0,12",BRC0180A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,02","0,01","0,03","0,02",BRC0180A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,02","0,01","0,03","0,02",BRC0180A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,06","0,04","0,08","0,05",BRC0180A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Cálcio,mg,"2,35","0,40","0,26","0,56","0,33",BRC0180A,Nome não encontrado
Ferro,mg,"1,37","0,23","0,15","0,33","0,19",BRC0180A,Nome não encontrado
Sódio,mg,"1,34","0,23","0,15","0,32","0,19",BRC0180A,Nome não encontrado
Magnésio,mg,"32,1","5,45","3,53","7,70","4,49",BRC0180A,Nome não encontrado
Fósforo,mg,135,"23,0","14,9","32,5","18,9",BRC0180A,Nome não encontrado
Potássio,mg,221,"37,7","24,4","53,2","31,1",BRC0180A,Nome não encontrado
Manganês,mg,"0,14","0,02","0,02","0,03","0,02",BRC0180A,Nome não encontrado
Zinco,mg,"0,62","0,11","0,07","0,15","0,09",BRC0180A,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01","0,01","0,01",BRC0180A,Nome não encontrado
Selênio,mcg,"0,60","0,10","0,07","0,14","0,08",BRC0180A,Nome não encontrado
Vitamina A (RE),mcg,"44,5","7,56","4,89","10,7","6,22",BRC0180A,Nome não encontrado
Vitamina A (RAE),mcg,"22,2","3,78","2,45","5,34","3,11",BRC0180A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,01","0,00","0,01","0,01",BRC0180A,Nome não encontrado
Tiamina,mg,"0,32","0,06","0,04","0,08","0,05",BRC0180A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0180A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0180A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,00","0,01","0,01",BRC0180A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0180A,Nome não encontrado
Equivalente de folato,mcg,"53,7","9,13","5,91","12,9","7,52",BRC0180A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
Proteína vegetal,g,"7,91","1,34","0,87","1,90","1,11",BRC0180A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0180A,Nome não encontrado
