componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,206,493,339,BRC0033U,Nome não encontrado
Energia,kcal,50,118,81,BRC0033U,Nome não encontrado
Umidade,g,"86,8",208,143,BRC0033U,Nome não encontrado
Carboidrato total,g,"6,97","16,7","11,5",BRC0033U,Nome não encontrado
Carboidrato disponível,g,"3,09","7,41","5,10",BRC0033U,Nome não encontrado
Proteína,g,"2,32","5,57","3,83",BRC0033U,Nome não encontrado
Lipídios,g,"2,23","5,36","3,69",BRC0033U,Nome não encontrado
Fibra alimentar,g,"3,88","9,31","6,40",BRC0033U,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Cinzas,g,"1,29","3,10","2,13",BRC0033U,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Ácidos graxos saturados,g,"0,88","2,11","1,45",BRC0033U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","2,37","1,63",BRC0033U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,62","0,43",BRC0033U,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Cálcio,mg,178,428,294,BRC0033U,Nome não encontrado
Ferro,mg,"1,64","3,93","2,70",BRC0033U,Nome não encontrado
Sódio,mg,"66,9",160,110,BRC0033U,Nome não encontrado
Magnésio,mg,"55,3",132,"91,2",BRC0033U,Nome não encontrado
Fósforo,mg,"81,5",195,134,BRC0033U,Nome não encontrado
Potássio,mg,212,510,350,BRC0033U,Nome não encontrado
Manganês,mg,"0,42","1,01","0,69",BRC0033U,Nome não encontrado
Zinco,mg,"0,74","1,76","1,21",BRC0033U,Nome não encontrado
Cobre,mg,"0,40","0,95","0,66",BRC0033U,Nome não encontrado
Selênio,mcg,"1,52","3,65","2,51",BRC0033U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Vitamina D,mcg,"0,90","2,16","1,49",BRC0033U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,71","13,7","9,42",BRC0033U,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01",BRC0033U,Nome não encontrado
Riboflavina,mg,"0,03","0,08","0,05",BRC0033U,Nome não encontrado
Niacina,mg,"0,28","0,68","0,47",BRC0033U,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0033U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Equivalente de folato,mcg,"4,10","9,84","6,77",BRC0033U,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0033U,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0033U,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0033U,Nome não encontrado
Proteína animal,g,-,-,-,BRC0033U,Nome não encontrado
