componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,379,227,170,378,BRC0406E,Nome não encontrado
Energia,kcal,90,53,40,89,BRC0406E,Nome não encontrado
Umidade,g,"79,9","48,0","36,0","79,9",BRC0406E,Nome não encontrado
Carboidrato total,g,"2,79","1,67","1,25","2,79",BRC0406E,Nome não encontrado
Carboidrato disponível,g,"2,74","1,64","1,23","2,74",BRC0406E,Nome não encontrado
Proteína,g,"13,7","8,22","6,16","13,7",BRC0406E,Nome não encontrado
Lipídios,g,"2,68","1,61","1,20","2,68",BRC0406E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0406E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0406E,Nome não encontrado
Cinzas,g,"0,92","0,55","0,41","0,92",BRC0406E,Nome não encontrado
Colesterol,mg,"34,0","20,4","15,3","34,0",BRC0406E,Nome não encontrado
Ácidos graxos saturados,g,"1,12","0,67","0,50","1,12",BRC0406E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,34","0,26","0,57",BRC0406E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,67","0,40","0,30","0,67",BRC0406E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0406E,Nome não encontrado
Cálcio,mg,"42,3","25,4","19,0","42,3",BRC0406E,Nome não encontrado
Ferro,mg,"0,21","0,13","0,09","0,21",BRC0406E,Nome não encontrado
Sódio,mg,132,"79,8","59,8",132,BRC0406E,Nome não encontrado
Magnésio,mg,"17,4","10,5","7,84","17,4",BRC0406E,Nome não encontrado
Fósforo,mg,114,"68,5","51,3",114,BRC0406E,Nome não encontrado
Potássio,mg,184,110,"83,2",184,BRC0406E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0406E,Nome não encontrado
Zinco,mg,"0,51","0,30","0,23","0,51",BRC0406E,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06","0,14",BRC0406E,Nome não encontrado
Selênio,mcg,"22,9","13,7","10,3","22,9",BRC0406E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,29","0,22","0,48",BRC0406E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,14","0,11","0,24",BRC0406E,Nome não encontrado
Vitamina D,mcg,"0,33","0,20","0,15","0,33",BRC0406E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,21","0,16","0,36",BRC0406E,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,05",BRC0406E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0406E,Nome não encontrado
Niacina,mg,"4,66","2,80","2,10","4,66",BRC0406E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0406E,Nome não encontrado
Vitamina B12,mcg,"1,48","0,89","0,67","1,48",BRC0406E,Nome não encontrado
Vitamina C,mg,"0,25","0,15","0,11","0,25",BRC0406E,Nome não encontrado
Equivalente de folato,mcg,"12,5","7,49","5,62","12,5",BRC0406E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0406E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0406E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0406E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0406E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0406E,Nome não encontrado
