componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,964,482,1060,867,1928,BRC0909A,Nome não encontrado
Energia,kcal,231,115,254,208,462,BRC0909A,Nome não encontrado
Umidade,g,"58,0","29,0","63,8","52,2",115,BRC0909A,Nome não encontrado
Carboidrato total,g,"21,6","10,8","23,8","19,5","43,3",BRC0909A,Nome não encontrado
Carboidrato disponível,g,"20,4","10,2","22,4","18,3","40,7",BRC0909A,Nome não encontrado
Proteína,g,"5,30","2,65","5,83","4,77","10,6",BRC0909A,Nome não encontrado
Lipídios,g,"14,0","7,00","15,4","12,6","28,0",BRC0909A,Nome não encontrado
Fibra alimentar,g,"1,27","0,63","1,39","1,14","2,53",BRC0909A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0909A,Nome não encontrado
Cinzas,g,"1,12","0,56","1,23","1,01","2,24",BRC0909A,Nome não encontrado
Colesterol,mg,"9,28","4,64","10,2","8,35","18,6",BRC0909A,Nome não encontrado
Ácidos graxos saturados,g,"3,01","1,50","3,31","2,71","6,02",BRC0909A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,08","4,04","8,88","7,27","16,2",BRC0909A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,50","1,25","2,74","2,25","4,99",BRC0909A,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,05","0,11","0,09","0,20",BRC0909A,Nome não encontrado
Cálcio,mg,"81,4","40,7","89,6","73,3",162,BRC0909A,Nome não encontrado
Ferro,mg,"1,31","0,65","1,44","1,18","2,61",BRC0909A,Nome não encontrado
Sódio,mg,294,147,324,265,589,BRC0909A,Nome não encontrado
Magnésio,mg,"9,69","4,84","10,7","8,72","19,4",BRC0909A,Nome não encontrado
Fósforo,mg,"90,8","45,4","99,9","81,7",181,BRC0909A,Nome não encontrado
Potássio,mg,"63,6","31,8","70,0","57,3",127,BRC0909A,Nome não encontrado
Manganês,mg,"0,27","0,14","0,30","0,25","0,55",BRC0909A,Nome não encontrado
Zinco,mg,"0,62","0,31","0,69","0,56","1,25",BRC0909A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,09","0,07","0,16",BRC0909A,Nome não encontrado
Selênio,mcg,"3,15","1,58","3,47","2,84","6,30",BRC0909A,Nome não encontrado
Vitamina A (RE),mcg,"46,5","23,3","51,2","41,9","93,1",BRC0909A,Nome não encontrado
Vitamina A (RAE),mcg,"25,5","12,7","28,0","22,9","50,9",BRC0909A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,05","0,04","0,09",BRC0909A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,83","0,91","2,01","1,64","3,65",BRC0909A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,05","0,04","0,10",BRC0909A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04","0,09",BRC0909A,Nome não encontrado
Niacina,mg,"1,01","0,50","1,11","0,91","2,02",BRC0909A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,03","0,03","0,06",BRC0909A,Nome não encontrado
Vitamina B12,mcg,"0,08","0,04","0,09","0,07","0,16",BRC0909A,Nome não encontrado
Vitamina C,mg,"0,48","0,24","0,53","0,43","0,97",BRC0909A,Nome não encontrado
Equivalente de folato,mcg,"54,3","27,1","59,7","48,8",108,BRC0909A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0909A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0909A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0909A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0909A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0909A,Nome não encontrado
