componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,378,756,BRC0066H,Nome não encontrado
Energia,kcal,89,178,BRC0066H,Nome não encontrado
Umidade,g,"77,6",155,BRC0066H,Nome não encontrado
Carboidrato total,g,"18,1","36,2",BRC0066H,Nome não encontrado
Carboidrato disponível,g,"18,1","36,2",BRC0066H,Nome não encontrado
Proteína,g,"2,88","5,76",BRC0066H,Nome não encontrado
Lipídios,g,"0,58","1,16",BRC0066H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0066H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0066H,Nome não encontrado
Cinzas,g,"0,84","1,68",BRC0066H,Nome não encontrado
Colesterol,mg,"2,47","4,94",BRC0066H,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,39",BRC0066H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,24",BRC0066H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0066H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0066H,Nome não encontrado
Cálcio,mg,104,208,BRC0066H,Nome não encontrado
Ferro,mg,"1,46","2,92",BRC0066H,Nome não encontrado
Sódio,mg,"36,8","73,6",BRC0066H,Nome não encontrado
Magnésio,mg,"58,1",116,BRC0066H,Nome não encontrado
Fósforo,mg,129,259,BRC0066H,Nome não encontrado
Potássio,mg,278,557,BRC0066H,Nome não encontrado
Manganês,mg,"0,13","0,26",BRC0066H,Nome não encontrado
Zinco,mg,"0,92","1,83",BRC0066H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0066H,Nome não encontrado
Selênio,mcg,,,BRC0066H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0066H,Nome não encontrado
Vitamina A (RAE),mcg,"5,92","11,8",BRC0066H,Nome não encontrado
Vitamina D,mcg,"0,77","1,54",BRC0066H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0066H,Nome não encontrado
Tiamina,mg,"0,04","0,07",BRC0066H,Nome não encontrado
Riboflavina,mg,"0,21","0,43",BRC0066H,Nome não encontrado
Niacina,mg,"1,23","2,46",BRC0066H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0066H,Nome não encontrado
Vitamina B12,mcg,"0,36","0,72",BRC0066H,Nome não encontrado
Vitamina C,mg,traços,,BRC0066H,Nome não encontrado
Equivalente de folato,mcg,"7,06","14,1",BRC0066H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0066H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0066H,Nome não encontrado
Gordura de adição,g,-,-,BRC0066H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0066H,Nome não encontrado
Proteína animal,g,-,-,BRC0066H,Nome não encontrado
