componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,411,82,534,BRC0246E,Nome não encontrado
Energia,kcal,98,19,127,BRC0246E,Nome não encontrado
Umidade,g,"80,8","16,2",105,BRC0246E,Nome não encontrado
Carboidrato total,g,"4,57","0,91","5,94",BRC0246E,Nome não encontrado
Carboidrato disponível,g,"4,32","0,86","5,62",BRC0246E,Nome não encontrado
Proteína,g,"7,84","1,57","10,2",BRC0246E,Nome não encontrado
Lipídios,g,"5,44","1,09","7,07",BRC0246E,Nome não encontrado
Fibra alimentar,g,"0,25","0,05","0,33",BRC0246E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0246E,Nome não encontrado
Cinzas,g,"1,36","0,27","1,77",BRC0246E,Nome não encontrado
Colesterol,mg,"96,2","19,2",125,BRC0246E,Nome não encontrado
Ácidos graxos saturados,g,"2,23","0,45","2,90",BRC0246E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,22","0,24","1,59",BRC0246E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,12","0,22","1,46",BRC0246E,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,01","0,08",BRC0246E,Nome não encontrado
Cálcio,mg,"75,4","15,1","98,1",BRC0246E,Nome não encontrado
Ferro,mg,"1,02","0,20","1,33",BRC0246E,Nome não encontrado
Sódio,mg,352,"70,4",457,BRC0246E,Nome não encontrado
Magnésio,mg,"12,3","2,46","16,0",BRC0246E,Nome não encontrado
Fósforo,mg,137,"27,5",178,BRC0246E,Nome não encontrado
Potássio,mg,118,"23,6",153,BRC0246E,Nome não encontrado
Manganês,mg,"0,06","0,01","0,08",BRC0246E,Nome não encontrado
Zinco,mg,"0,60","0,12","0,78",BRC0246E,Nome não encontrado
Cobre,mg,"0,16","0,03","0,21",BRC0246E,Nome não encontrado
Selênio,mcg,"1,61","0,32","2,09",BRC0246E,Nome não encontrado
Vitamina A (RE),mcg,"46,5","9,29","60,4",BRC0246E,Nome não encontrado
Vitamina A (RAE),mcg,"33,9","6,78","44,1",BRC0246E,Nome não encontrado
Vitamina D,mcg,"0,11","0,02","0,14",BRC0246E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,98","0,20","1,27",BRC0246E,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,03",BRC0246E,Nome não encontrado
Riboflavina,mg,"0,08","0,02","0,10",BRC0246E,Nome não encontrado
Niacina,mg,"0,50","0,10","0,65",BRC0246E,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,02",BRC0246E,Nome não encontrado
Vitamina B12,mcg,"0,69","0,14","0,90",BRC0246E,Nome não encontrado
Vitamina C,mg,"1,30","0,26","1,69",BRC0246E,Nome não encontrado
Equivalente de folato,mcg,"14,0","2,79","18,1",BRC0246E,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0246E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0246E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0246E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0246E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0246E,Nome não encontrado
