componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,0,0,BRC0035L,Nome não encontrado
Energia,kcal,0,0,BRC0035L,Nome não encontrado
Umidade,g,"0,40","0,08",BRC0035L,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0035L,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0035L,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0035L,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0035L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0035L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0035L,Nome não encontrado
Cinzas,g,,,BRC0035L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0035L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0035L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0035L,Nome não encontrado
Ácidos graxos trans,g,,,BRC0035L,Nome não encontrado
Cálcio,mg,160,"32,0",BRC0035L,Nome não encontrado
Ferro,mg,"0,52","0,10",BRC0035L,Nome não encontrado
Sódio,mg,40800,8160,BRC0035L,Nome não encontrado
Magnésio,mg,1560,312,BRC0035L,Nome não encontrado
Fósforo,mg,-,-,BRC0035L,Nome não encontrado
Potássio,mg,720,144,BRC0035L,Nome não encontrado
Manganês,mg,,,BRC0035L,Nome não encontrado
Zinco,mg,"0,43","0,09",BRC0035L,Nome não encontrado
Cobre,mg,,,BRC0035L,Nome não encontrado
Selênio,mcg,,,BRC0035L,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0035L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0035L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0035L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0035L,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0035L,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0035L,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0035L,Nome não encontrado
Sal de adição,g,"100,0","20,0",BRC0035L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0035L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0035L,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0035L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0035L,Nome não encontrado
