componente,unidade,Valor por 100g,Colher sopa rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,695,125,BRC0148T,Nome não encontrado
Energia,kcal,167,30,BRC0148T,Nome não encontrado
Umidade,g,"62,6","11,3",BRC0148T,Nome não encontrado
Carboidrato total,g,"9,44","1,70",BRC0148T,Nome não encontrado
Carboidrato disponível,g,"0,56","0,10",BRC0148T,Nome não encontrado
Proteína,g,"16,1","2,90",BRC0148T,Nome não encontrado
Lipídios,g,"9,22","1,66",BRC0148T,Nome não encontrado
Fibra alimentar,g,"8,88","1,60",BRC0148T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0148T,Nome não encontrado
Cinzas,g,"2,68","0,48",BRC0148T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0148T,Nome não encontrado
Ácidos graxos saturados,g,"1,33","0,24",BRC0148T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,04","0,37",BRC0148T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,20","0,94",BRC0148T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0148T,Nome não encontrado
Cálcio,mg,"70,8","12,7",BRC0148T,Nome não encontrado
Ferro,mg,"4,69","0,84",BRC0148T,Nome não encontrado
Sódio,mg,183,"32,9",BRC0148T,Nome não encontrado
Magnésio,mg,"73,4","13,2",BRC0148T,Nome não encontrado
Fósforo,mg,167,"30,1",BRC0148T,Nome não encontrado
Potássio,mg,488,"88,0",BRC0148T,Nome não encontrado
Manganês,mg,"0,91","0,16",BRC0148T,Nome não encontrado
Zinco,mg,"1,31","0,24",BRC0148T,Nome não encontrado
Cobre,mg,"0,34","0,06",BRC0148T,Nome não encontrado
Selênio,mcg,"32,8","5,90",BRC0148T,Nome não encontrado
Vitamina A (RE),mcg,"1,00","0,18",BRC0148T,Nome não encontrado
Vitamina A (RAE),mcg,"0,50","0,09",BRC0148T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0148T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,06",BRC0148T,Nome não encontrado
Tiamina,mg,"0,23","0,04",BRC0148T,Nome não encontrado
Riboflavina,mg,"0,26","0,05",BRC0148T,Nome não encontrado
Niacina,mg,"0,43","0,08",BRC0148T,Nome não encontrado
Vitamina B6,mg,"0,11","0,02",BRC0148T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0148T,Nome não encontrado
Vitamina C,mg,"1,46","0,26",BRC0148T,Nome não encontrado
Equivalente de folato,mcg,"75,8","13,7",BRC0148T,Nome não encontrado
Sal de adição,g,"0,45","0,08",BRC0148T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0148T,Nome não encontrado
Gordura de adição,g,-,-,BRC0148T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0148T,Nome não encontrado
Proteína animal,g,-,-,BRC0148T,Nome não encontrado
