componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,293,586,BRC0105H,Nome não encontrado
Energia,kcal,69,138,BRC0105H,Nome não encontrado
Umidade,g,"82,7",165,BRC0105H,Nome não encontrado
Carboidrato total,g,"12,9","25,9",BRC0105H,Nome não encontrado
Carboidrato disponível,g,"12,8","25,5",BRC0105H,Nome não encontrado
Proteína,g,"2,95","5,90",BRC0105H,Nome não encontrado
Lipídios,g,"0,67","1,33",BRC0105H,Nome não encontrado
Fibra alimentar,g,"0,17","0,35",BRC0105H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0105H,Nome não encontrado
Cinzas,g,"0,79","1,58",BRC0105H,Nome não encontrado
Colesterol,mg,"2,63","5,26",BRC0105H,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,46",BRC0105H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,24",BRC0105H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,07",BRC0105H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0105H,Nome não encontrado
Cálcio,mg,107,215,BRC0105H,Nome não encontrado
Ferro,mg,"1,43","2,87",BRC0105H,Nome não encontrado
Sódio,mg,"38,5","76,9",BRC0105H,Nome não encontrado
Magnésio,mg,"59,2",118,BRC0105H,Nome não encontrado
Fósforo,mg,135,271,BRC0105H,Nome não encontrado
Potássio,mg,262,525,BRC0105H,Nome não encontrado
Manganês,mg,"0,01","0,02",BRC0105H,Nome não encontrado
Zinco,mg,"0,97","1,93",BRC0105H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0105H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0105H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0105H,Nome não encontrado
Vitamina A (RAE),mcg,"6,30","12,6",BRC0105H,Nome não encontrado
Vitamina D,mcg,"0,82","1,64",BRC0105H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,07",BRC0105H,Nome não encontrado
Tiamina,mg,"0,04","0,07",BRC0105H,Nome não encontrado
Riboflavina,mg,"0,21","0,42",BRC0105H,Nome não encontrado
Niacina,mg,"1,31","2,63",BRC0105H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0105H,Nome não encontrado
Vitamina B12,mcg,"0,38","0,77",BRC0105H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0105H,Nome não encontrado
Equivalente de folato,mcg,"7,11","14,2",BRC0105H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0105H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0105H,Nome não encontrado
Gordura de adição,g,-,-,BRC0105H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0105H,Nome não encontrado
Proteína animal,g,-,-,BRC0105H,Nome não encontrado
