componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2206,661,BRC0068N,Nome não encontrado
Energia,kcal,528,158,BRC0068N,Nome não encontrado
Umidade,g,"0,70","0,21",BRC0068N,Nome não encontrado
Carboidrato total,g,"66,3","19,9",BRC0068N,Nome não encontrado
Carboidrato disponível,g,"62,0","18,6",BRC0068N,Nome não encontrado
Proteína,g,"3,57","1,07",BRC0068N,Nome não encontrado
Lipídios,g,"28,6","8,57",BRC0068N,Nome não encontrado
Fibra alimentar,g,"4,30","1,29",BRC0068N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0068N,Nome não encontrado
Cinzas,g,"0,90","0,27",BRC0068N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0068N,Nome não encontrado
Ácidos graxos saturados,g,"4,26","1,28",BRC0068N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"12,0","3,60",BRC0068N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"10,7","3,22",BRC0068N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0068N,Nome não encontrado
Cálcio,mg,"0,00","0,00",BRC0068N,Nome não encontrado
Ferro,mg,"1,29","0,39",BRC0068N,Nome não encontrado
Sódio,mg,"71,0","21,3",BRC0068N,Nome não encontrado
Magnésio,mg,"7,00","2,10",BRC0068N,Nome não encontrado
Fósforo,mg,"40,0","12,0",BRC0068N,Nome não encontrado
Potássio,mg,"57,0","17,1",BRC0068N,Nome não encontrado
Manganês,mg,"0,25","0,08",BRC0068N,Nome não encontrado
Zinco,mg,"0,20","0,06",BRC0068N,Nome não encontrado
Cobre,mg,"0,04","0,01",BRC0068N,Nome não encontrado
Selênio,mcg,"6,30","1,89",BRC0068N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0068N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0068N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0068N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,08","0,92",BRC0068N,Nome não encontrado
Tiamina,mg,"0,24","0,07",BRC0068N,Nome não encontrado
Riboflavina,mg,"0,15","0,05",BRC0068N,Nome não encontrado
Niacina,mg,"1,80","0,54",BRC0068N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0068N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0068N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0068N,Nome não encontrado
Equivalente de folato,mcg,"69,0","20,7",BRC0068N,Nome não encontrado
Sal de adição,g,,,BRC0068N,Nome não encontrado
Açúcar de adição,g,,,BRC0068N,Nome não encontrado
Gordura de adição,g,,,BRC0068N,Nome não encontrado
Proteína vegetal,g,,,BRC0068N,Nome não encontrado
Proteína animal,g,,,BRC0068N,Nome não encontrado
