componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1463,1170,BRC0147K,Nome não encontrado
Energia,kcal,346,277,BRC0147K,Nome não encontrado
Umidade,g,"20,3","16,3",BRC0147K,Nome não encontrado
Carboidrato total,g,"62,8","50,3",BRC0147K,Nome não encontrado
Carboidrato disponível,g,"62,1","49,7",BRC0147K,Nome não encontrado
Proteína,g,"8,65","6,92",BRC0147K,Nome não encontrado
Lipídios,g,"6,87","5,50",BRC0147K,Nome não encontrado
Fibra alimentar,g,"0,72","0,57",BRC0147K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0147K,Nome não encontrado
Cinzas,g,"1,35","1,08",BRC0147K,Nome não encontrado
Colesterol,mg,"38,1","30,4",BRC0147K,Nome não encontrado
Ácidos graxos saturados,g,"3,26","2,61",BRC0147K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,91","1,53",BRC0147K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,29","1,03",BRC0147K,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,03",BRC0147K,Nome não encontrado
Cálcio,mg,"6,70","5,36",BRC0147K,Nome não encontrado
Ferro,mg,"1,68","1,35",BRC0147K,Nome não encontrado
Sódio,mg,"9,14","7,31",BRC0147K,Nome não encontrado
Magnésio,mg,"9,14","7,31",BRC0147K,Nome não encontrado
Fósforo,mg,"41,1","32,9",BRC0147K,Nome não encontrado
Potássio,mg,"50,6","40,5",BRC0147K,Nome não encontrado
Manganês,mg,"0,13","0,10",BRC0147K,Nome não encontrado
Zinco,mg,"0,32","0,25",BRC0147K,Nome não encontrado
Cobre,mg,"0,05","0,04",BRC0147K,Nome não encontrado
Selênio,mcg,"2,50","2,00",BRC0147K,Nome não encontrado
Vitamina A (RE),mcg,"53,8","43,0",BRC0147K,Nome não encontrado
Vitamina A (RAE),mcg,"53,8","43,0",BRC0147K,Nome não encontrado
Vitamina D,mcg,,,BRC0147K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,09",BRC0147K,Nome não encontrado
Tiamina,mg,"0,08","0,07",BRC0147K,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0147K,Nome não encontrado
Niacina,mg,"0,29","0,23",BRC0147K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0147K,Nome não encontrado
Vitamina B12,mcg,"0,05","0,04",BRC0147K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0147K,Nome não encontrado
Equivalente de folato,mcg,"56,4","45,2",BRC0147K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0147K,Nome não encontrado
Açúcar de adição,g,,,BRC0147K,Nome não encontrado
Gordura de adição,g,-,-,BRC0147K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0147K,Nome não encontrado
Proteína animal,g,-,-,BRC0147K,Nome não encontrado
