componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,350,840,577,700,BRC0108G,Nome não encontrado
Energia,kcal,83,199,136,166,BRC0108G,Nome não encontrado
Umidade,g,"81,3",195,134,162,BRC0108G,Nome não encontrado
Carboidrato total,g,"13,5","32,4","22,3","27,0",BRC0108G,Nome não encontrado
Carboidrato disponível,g,"12,9","31,0","21,3","25,8",BRC0108G,Nome não encontrado
Proteína,g,"2,29","5,50","3,78","4,58",BRC0108G,Nome não encontrado
Lipídios,g,"2,36","5,66","3,89","4,72",BRC0108G,Nome não encontrado
Fibra alimentar,g,"0,58","1,39","0,96","1,16",BRC0108G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0108G,Nome não encontrado
Cinzas,g,"0,58","1,39","0,96","1,16",BRC0108G,Nome não encontrado
Colesterol,mg,"8,31","19,9","13,7","16,6",BRC0108G,Nome não encontrado
Ácidos graxos saturados,g,"1,37","3,29","2,26","2,74",BRC0108G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,65","1,56","1,07","1,30",BRC0108G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,19","0,13","0,16",BRC0108G,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,,BRC0108G,Nome não encontrado
Cálcio,mg,"74,4",178,122,148,BRC0108G,Nome não encontrado
Ferro,mg,"0,09","0,22","0,15","0,18",BRC0108G,Nome não encontrado
Sódio,mg,"43,7",104,"72,1","87,4",BRC0108G,Nome não encontrado
Magnésio,mg,"8,89","21,3","14,7","17,8",BRC0108G,Nome não encontrado
Fósforo,mg,"58,3",139,"96,2",116,BRC0108G,Nome não encontrado
Potássio,mg,135,324,222,270,BRC0108G,Nome não encontrado
Manganês,mg,"0,04","0,10","0,07","0,08",BRC0108G,Nome não encontrado
Zinco,mg,"0,28","0,67","0,46","0,56",BRC0108G,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07","0,08",BRC0108G,Nome não encontrado
Selênio,mcg,"3,42","8,21","5,64","6,84",BRC0108G,Nome não encontrado
Vitamina A (RE),mcg,111,266,183,222,BRC0108G,Nome não encontrado
Vitamina A (RAE),mcg,"71,6",171,118,143,BRC0108G,Nome não encontrado
Vitamina D,mcg,"0,80","1,92","1,32","1,60",BRC0108G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,60","0,41","0,50",BRC0108G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07","0,08",BRC0108G,Nome não encontrado
Riboflavina,mg,"0,17","0,41","0,28","0,34",BRC0108G,Nome não encontrado
Niacina,mg,"1,02","2,45","1,68","2,04",BRC0108G,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,02","0,02",BRC0108G,Nome não encontrado
Vitamina B12,mcg,"0,25","0,60","0,41","0,50",BRC0108G,Nome não encontrado
Vitamina C,mg,"8,18","19,6","13,5","16,4",BRC0108G,Nome não encontrado
Equivalente de folato,mcg,"15,5","37,2","25,6","31,0",BRC0108G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0108G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0108G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0108G,Nome não encontrado
Proteína vegetal,g,"0,15","0,36","0,25","0,30",BRC0108G,Nome não encontrado
Proteína animal,g,"1,96","4,70","3,23","3,92",BRC0108G,Nome não encontrado
