componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (35 g),Colher sopa cheia (30 g),Colher sopa rasa (20 g),Escumadeira cheia (90 g),Escumadeira rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,107,75,37,32,21,96,42,BRC0104B,Nome não encontrado
Energia,kcal,26,17,8,7,5,23,10,BRC0104B,Nome não encontrado
Umidade,g,"93,5","65,4","32,7","28,0","18,7","84,1","37,4",BRC0104B,Nome não encontrado
Carboidrato total,g,"4,19","2,93","1,47","1,26","0,84","3,77","1,67",BRC0104B,Nome não encontrado
Carboidrato disponível,g,"2,81","1,96","0,98","0,84","0,56","2,53","1,12",BRC0104B,Nome não encontrado
Proteína,g,"1,07","0,75","0,37","0,32","0,21","0,96","0,43",BRC0104B,Nome não encontrado
Lipídios,g,"0,82","0,57","0,29","0,25","0,16","0,74","0,33",BRC0104B,Nome não encontrado
Fibra alimentar,g,"1,38","0,97","0,48","0,41","0,28","1,24","0,55",BRC0104B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Cinzas,g,"0,43","0,30","0,15","0,13","0,09","0,39","0,17",BRC0104B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,09","0,05","0,04","0,03","0,12","0,05",BRC0104B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,18","0,13","0,06","0,05","0,04","0,16","0,07",BRC0104B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,46","0,32","0,16","0,14","0,09","0,41","0,18",BRC0104B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Cálcio,mg,"20,7","14,5","7,24","6,20","4,13","18,6","8,27",BRC0104B,Nome não encontrado
Ferro,mg,"0,36","0,25","0,13","0,11","0,07","0,32","0,14",BRC0104B,Nome não encontrado
Sódio,mg,"2,21","1,55","0,77","0,66","0,44","1,99","0,88",BRC0104B,Nome não encontrado
Magnésio,mg,"12,7","8,87","4,43","3,80","2,53","11,4","5,07",BRC0104B,Nome não encontrado
Fósforo,mg,"31,8","22,3","11,1","9,55","6,37","28,6","12,7",BRC0104B,Nome não encontrado
Potássio,mg,193,135,"67,8","58,1","38,7",174,"77,5",BRC0104B,Nome não encontrado
Manganês,mg,"0,14","0,09","0,05","0,04","0,03","0,12","0,05",BRC0104B,Nome não encontrado
Zinco,mg,"0,27","0,19","0,10","0,08","0,05","0,24","0,11",BRC0104B,Nome não encontrado
Cobre,mg,"0,02","0,02","0,01","0,01","0,00","0,02","0,01",BRC0104B,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0104B,Nome não encontrado
Vitamina A (RE),mcg,"41,6","29,1","14,6","12,5","8,32","37,4","16,6",BRC0104B,Nome não encontrado
Vitamina A (RAE),mcg,"20,8","14,6","7,28","6,24","4,16","18,7","8,32",BRC0104B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,,,BRC0104B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02","0,01","0,01","0,04","0,02",BRC0104B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0104B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0104B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0104B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Vitamina C,mg,"7,53","5,27","2,64","2,26","1,51","6,78","3,01",BRC0104B,Nome não encontrado
Equivalente de folato,mcg,,,,,,,,BRC0104B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0104B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0104B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0104B,Nome não encontrado
