componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,596,357,268,596,BRC0407E,Nome não encontrado
Energia,kcal,141,84,63,141,BRC0407E,Nome não encontrado
Umidade,g,"67,0","40,2","30,2","67,0",BRC0407E,Nome não encontrado
Carboidrato total,g,"2,38","1,43","1,07","2,38",BRC0407E,Nome não encontrado
Carboidrato disponível,g,"2,33","1,40","1,05","2,33",BRC0407E,Nome não encontrado
Proteína,g,"25,8","15,5","11,6","25,8",BRC0407E,Nome não encontrado
Lipídios,g,"3,17","1,90","1,43","3,17",BRC0407E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0407E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0407E,Nome não encontrado
Cinzas,g,"1,57","0,94","0,71","1,57",BRC0407E,Nome não encontrado
Colesterol,mg,"49,8","29,9","22,4","49,8",BRC0407E,Nome não encontrado
Ácidos graxos saturados,g,"1,51","0,90","0,68","1,51",BRC0407E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,76","0,46","0,34","0,76",BRC0407E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,34","0,26","0,57",BRC0407E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01",BRC0407E,Nome não encontrado
Cálcio,mg,"39,5","23,7","17,8","39,5",BRC0407E,Nome não encontrado
Ferro,mg,"1,34","0,80","0,60","1,34",BRC0407E,Nome não encontrado
Sódio,mg,"86,5","51,9","38,9","86,5",BRC0407E,Nome não encontrado
Magnésio,mg,"34,5","20,7","15,5","34,5",BRC0407E,Nome não encontrado
Fósforo,mg,271,162,122,271,BRC0407E,Nome não encontrado
Potássio,mg,338,203,152,338,BRC0407E,Nome não encontrado
Manganês,mg,"0,01","0,01","0,00","0,01",BRC0407E,Nome não encontrado
Zinco,mg,"0,52","0,31","0,23","0,52",BRC0407E,Nome não encontrado
Cobre,mg,"0,09","0,06","0,04","0,09",BRC0407E,Nome não encontrado
Selênio,mcg,"31,3","18,8","14,1","31,3",BRC0407E,Nome não encontrado
Vitamina A (RE),mcg,"37,3","22,4","16,8","37,3",BRC0407E,Nome não encontrado
Vitamina A (RAE),mcg,"37,1","22,2","16,7","37,1",BRC0407E,Nome não encontrado
Vitamina D,mcg,"0,88","0,53","0,40","0,88",BRC0407E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,45","0,27","0,20","0,45",BRC0407E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0407E,Nome não encontrado
Riboflavina,mg,"0,11","0,06","0,05","0,11",BRC0407E,Nome não encontrado
Niacina,mg,"5,89","3,53","2,65","5,89",BRC0407E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0407E,Nome não encontrado
Vitamina B12,mcg,"7,01","4,21","3,16","7,01",BRC0407E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0407E,Nome não encontrado
Equivalente de folato,mcg,"14,1","8,49","6,37","14,1",BRC0407E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0407E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0407E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0407E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0407E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0407E,Nome não encontrado
