componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,644,128,836,BRC0940F,Nome não encontrado
Energia,kcal,154,30,200,BRC0940F,Nome não encontrado
Umidade,g,"71,9","14,4","93,5",BRC0940F,Nome não encontrado
Carboidrato total,g,"5,49","1,10","7,14",BRC0940F,Nome não encontrado
Carboidrato disponível,g,"4,46","0,89","5,79",BRC0940F,Nome não encontrado
Proteína,g,"12,5","2,50","16,3",BRC0940F,Nome não encontrado
Lipídios,g,"9,38","1,88","12,2",BRC0940F,Nome não encontrado
Fibra alimentar,g,"1,03","0,21","1,34",BRC0940F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0940F,Nome não encontrado
Cinzas,g,"0,69","0,14","0,90",BRC0940F,Nome não encontrado
Colesterol,mg,"32,0","6,41","41,7",BRC0940F,Nome não encontrado
Ácidos graxos saturados,g,"1,66","0,33","2,16",BRC0940F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,31","0,46","3,00",BRC0940F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,13","1,03","6,67",BRC0940F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,01","0,08",BRC0940F,Nome não encontrado
Cálcio,mg,"11,8","2,35","15,3",BRC0940F,Nome não encontrado
Ferro,mg,"0,32","0,06","0,42",BRC0940F,Nome não encontrado
Sódio,mg,"14,1","2,81","18,3",BRC0940F,Nome não encontrado
Magnésio,mg,"11,3","2,26","14,7",BRC0940F,Nome não encontrado
Fósforo,mg,108,"21,7",141,BRC0940F,Nome não encontrado
Potássio,mg,205,"41,0",266,BRC0940F,Nome não encontrado
Manganês,mg,"0,09","0,02","0,12",BRC0940F,Nome não encontrado
Zinco,mg,"0,49","0,10","0,64",BRC0940F,Nome não encontrado
Cobre,mg,"0,07","0,01","0,09",BRC0940F,Nome não encontrado
Selênio,mcg,"4,42","0,88","5,74",BRC0940F,Nome não encontrado
Vitamina A (RE),mcg,"29,1","5,81","37,8",BRC0940F,Nome não encontrado
Vitamina A (RAE),mcg,"14,8","2,97","19,3",BRC0940F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0940F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,24","0,25","1,61",BRC0940F,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,08",BRC0940F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0940F,Nome não encontrado
Niacina,mg,"2,79","0,56","3,62",BRC0940F,Nome não encontrado
Vitamina B6,mg,"0,09","0,02","0,11",BRC0940F,Nome não encontrado
Vitamina B12,mcg,"0,05","0,01","0,06",BRC0940F,Nome não encontrado
Vitamina C,mg,"3,56","0,71","4,63",BRC0940F,Nome não encontrado
Equivalente de folato,mcg,"8,72","1,74","11,3",BRC0940F,Nome não encontrado
Sal de adição,g,,,,BRC0940F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0940F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0940F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0940F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0940F,Nome não encontrado
