componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,109,218,BRC0068H,Nome não encontrado
Energia,kcal,26,52,BRC0068H,Nome não encontrado
Umidade,g,"94,1",188,BRC0068H,Nome não encontrado
Carboidrato total,g,"2,96","5,93",BRC0068H,Nome não encontrado
Carboidrato disponível,g,"2,87","5,74",BRC0068H,Nome não encontrado
Proteína,g,"1,70","3,40",BRC0068H,Nome não encontrado
Lipídios,g,"0,84","1,68",BRC0068H,Nome não encontrado
Fibra alimentar,g,"0,09","0,18",BRC0068H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0068H,Nome não encontrado
Cinzas,g,"0,42","0,84",BRC0068H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0068H,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,21",BRC0068H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,18","0,35",BRC0068H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,60",BRC0068H,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0068H,Nome não encontrado
Cálcio,mg,"9,84","19,7",BRC0068H,Nome não encontrado
Ferro,mg,"0,22","0,43",BRC0068H,Nome não encontrado
Sódio,mg,"28,8","57,6",BRC0068H,Nome não encontrado
Magnésio,mg,"12,6","25,1",BRC0068H,Nome não encontrado
Fósforo,mg,"31,2","62,4",BRC0068H,Nome não encontrado
Potássio,mg,138,276,BRC0068H,Nome não encontrado
Manganês,mg,"0,09","0,18",BRC0068H,Nome não encontrado
Zinco,mg,"0,14","0,28",BRC0068H,Nome não encontrado
Cobre,mg,"0,04","0,09",BRC0068H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0068H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0068H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0068H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0068H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,03",BRC0068H,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0068H,Nome não encontrado
Riboflavina,mg,"0,04","0,08",BRC0068H,Nome não encontrado
Niacina,mg,"0,10","0,19",BRC0068H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0068H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0068H,Nome não encontrado
Vitamina C,mg,traços,,BRC0068H,Nome não encontrado
Equivalente de folato,mcg,"42,7","85,5",BRC0068H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0068H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0068H,Nome não encontrado
Gordura de adição,g,-,-,BRC0068H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0068H,Nome não encontrado
Proteína animal,g,-,-,BRC0068H,Nome não encontrado
