componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,595,297,654,535,BRC0603A,Nome não encontrado
Energia,kcal,143,71,157,128,BRC0603A,Nome não encontrado
Umidade,g,"67,5","33,7","74,2","60,7",BRC0603A,Nome não encontrado
Carboidrato total,g,"21,0","10,5","23,1","18,9",BRC0603A,Nome não encontrado
Carboidrato disponível,g,"18,7","9,36","20,6","16,8",BRC0603A,Nome não encontrado
Proteína,g,"5,77","2,89","6,35","5,20",BRC0603A,Nome não encontrado
Lipídios,g,"4,50","2,25","4,95","4,05",BRC0603A,Nome não encontrado
Fibra alimentar,g,"2,29","1,15","2,52","2,06",BRC0603A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0603A,Nome não encontrado
Cinzas,g,"1,29","0,64","1,41","1,16",BRC0603A,Nome não encontrado
Colesterol,mg,"8,47","4,23","9,31","7,62",BRC0603A,Nome não encontrado
Ácidos graxos saturados,g,"1,86","0,93","2,04","1,67",BRC0603A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,09","0,55","1,20","0,98",BRC0603A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,11","0,56","1,22","1,00",BRC0603A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,02","0,01",BRC0603A,Nome não encontrado
Cálcio,mg,"60,0","30,0","66,0","54,0",BRC0603A,Nome não encontrado
Ferro,mg,"0,57","0,28","0,62","0,51",BRC0603A,Nome não encontrado
Sódio,mg,321,160,354,289,BRC0603A,Nome não encontrado
Magnésio,mg,"15,0","7,50","16,5","13,5",BRC0603A,Nome não encontrado
Fósforo,mg,"95,0","47,5",104,"85,5",BRC0603A,Nome não encontrado
Potássio,mg,123,"61,9",136,111,BRC0603A,Nome não encontrado
Manganês,mg,"0,20","0,10","0,22","0,18",BRC0603A,Nome não encontrado
Zinco,mg,"0,62","0,31","0,68","0,56",BRC0603A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,07","0,06",BRC0603A,Nome não encontrado
Selênio,mcg,"4,54","2,27","4,99","4,09",BRC0603A,Nome não encontrado
Vitamina A (RE),mcg,"32,7","16,4","36,0","29,4",BRC0603A,Nome não encontrado
Vitamina A (RAE),mcg,"32,0","16,0","35,2","28,8",BRC0603A,Nome não encontrado
Vitamina D,mcg,"0,03","0,02","0,03","0,03",BRC0603A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","0,26","0,57","0,47",BRC0603A,Nome não encontrado
Tiamina,mg,"0,12","0,06","0,13","0,11",BRC0603A,Nome não encontrado
Riboflavina,mg,"0,15","0,07","0,16","0,13",BRC0603A,Nome não encontrado
Niacina,mg,"2,05","1,03","2,26","1,85",BRC0603A,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,05","0,04",BRC0603A,Nome não encontrado
Vitamina B12,mcg,"0,20","0,10","0,21","0,18",BRC0603A,Nome não encontrado
Vitamina C,mg,"0,62","0,31","0,68","0,56",BRC0603A,Nome não encontrado
Equivalente de folato,mcg,"21,0","10,5","23,0","18,9",BRC0603A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0603A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0603A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0603A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0603A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0603A,Nome não encontrado
