componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,310,743,511,BRC0008H,Nome não encontrado
Energia,kcal,73,175,120,BRC0008H,Nome não encontrado
Umidade,g,"81,4",195,134,BRC0008H,Nome não encontrado
Carboidrato total,g,"18,3","43,9","30,2",BRC0008H,Nome não encontrado
Carboidrato disponível,g,"18,2","43,6","30,0",BRC0008H,Nome não encontrado
Proteína,g,traços,traços,traços,BRC0008H,Nome não encontrado
Lipídios,g,traços,traços,traços,BRC0008H,Nome não encontrado
Fibra alimentar,g,"0,14","0,33","0,22",BRC0008H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Cinzas,g,"0,27","0,64","0,44",BRC0008H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Ácidos graxos saturados,g,,,,BRC0008H,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0008H,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0008H,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0008H,Nome não encontrado
Cálcio,mg,"29,4","70,5","48,4",BRC0008H,Nome não encontrado
Ferro,mg,"0,80","1,92","1,32",BRC0008H,Nome não encontrado
Sódio,mg,"22,7","54,4","37,4",BRC0008H,Nome não encontrado
Magnésio,mg,"15,7","37,6","25,8",BRC0008H,Nome não encontrado
Fósforo,mg,"6,66","16,0","11,0",BRC0008H,Nome não encontrado
Potássio,mg,"52,7",126,"86,9",BRC0008H,Nome não encontrado
Manganês,mg,"0,18","0,44","0,30",BRC0008H,Nome não encontrado
Zinco,mg,"0,06","0,15","0,11",BRC0008H,Nome não encontrado
Cobre,mg,"0,01","0,02","0,01",BRC0008H,Nome não encontrado
Selênio,mcg,"0,18","0,42","0,29",BRC0008H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0008H,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0008H,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0008H,Nome não encontrado
Vitamina B6,mg,"0,03","0,07","0,05",BRC0008H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Vitamina C,mg,"2,78","6,67","4,59",BRC0008H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0008H,Nome não encontrado
Sal de adição,g,,,,BRC0008H,Nome não encontrado
Açúcar de adição,g,,,,BRC0008H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0008H,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0008H,Nome não encontrado
Proteína animal,g,-,-,-,BRC0008H,Nome não encontrado
