componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,2093,83,20,BRC0823B,Nome não encontrado
Energia,kcal,506,20,5,BRC0823B,Nome não encontrado
Umidade,g,"6,23","0,25","0,06",BRC0823B,Nome não encontrado
Carboidrato total,g,"49,3","1,97","0,49",BRC0823B,Nome não encontrado
Carboidrato disponível,g,"28,5","1,14","0,28",BRC0823B,Nome não encontrado
Proteína,g,"5,84","0,23","0,06",BRC0823B,Nome não encontrado
Lipídios,g,"36,3","1,45","0,36",BRC0823B,Nome não encontrado
Fibra alimentar,g,"20,8","0,83","0,21",BRC0823B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Cinzas,g,"2,34","0,09","0,02",BRC0823B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Ácidos graxos saturados,g,"25,9","1,04","0,26",BRC0823B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,22","0,13","0,03",BRC0823B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,35","0,01","0,00",BRC0823B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Cálcio,mg,184,"7,36","1,84",BRC0823B,Nome não encontrado
Ferro,mg,"3,04","0,12","0,03",BRC0823B,Nome não encontrado
Sódio,mg,"16,0","0,64","0,16",BRC0823B,Nome não encontrado
Magnésio,mg,183,"7,32","1,83",BRC0823B,Nome não encontrado
Fósforo,mg,213,"8,52","2,13",BRC0823B,Nome não encontrado
Potássio,mg,350,"14,0","3,50",BRC0823B,Nome não encontrado
Manganês,mg,"2,90","0,12","0,03",BRC0823B,Nome não encontrado
Zinco,mg,"2,15","0,09","0,02",BRC0823B,Nome não encontrado
Cobre,mg,"1,03","0,04","0,01",BRC0823B,Nome não encontrado
Selênio,mcg,"1,60","0,06","0,02",BRC0823B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0823B,Nome não encontrado
Vitamina A (RAE),mcg,"5,00","0,20","0,05",BRC0823B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Tiamina,mg,"0,35","0,01","0,00",BRC0823B,Nome não encontrado
Riboflavina,mg,"0,06","0,00","0,00",BRC0823B,Nome não encontrado
Niacina,mg,"1,30","0,05","0,01",BRC0823B,Nome não encontrado
Vitamina B6,mg,"0,16","0,01","0,00",BRC0823B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Vitamina C,mg,"3,00","0,12","0,03",BRC0823B,Nome não encontrado
Equivalente de folato,mcg,"76,0","3,04","0,76",BRC0823B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0823B,Nome não encontrado
Proteína vegetal,g,"5,84","0,23","0,06",BRC0823B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0823B,Nome não encontrado
