componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,496,496,BRC0227F,Nome não encontrado
Energia,kcal,118,118,BRC0227F,Nome não encontrado
Umidade,g,"75,0","75,0",BRC0227F,Nome não encontrado
Carboidrato total,g,"1,09","1,09",BRC0227F,Nome não encontrado
Carboidrato disponível,g,"1,09","1,09",BRC0227F,Nome não encontrado
Proteína,g,"18,5","18,5",BRC0227F,Nome não encontrado
Lipídios,g,"4,42","4,42",BRC0227F,Nome não encontrado
Fibra alimentar,g,,,BRC0227F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0227F,Nome não encontrado
Cinzas,g,"1,06","1,06",BRC0227F,Nome não encontrado
Colesterol,mg,315,315,BRC0227F,Nome não encontrado
Ácidos graxos saturados,g,"1,39","1,39",BRC0227F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,11","1,11",BRC0227F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,72",BRC0227F,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0227F,Nome não encontrado
Cálcio,mg,"12,2","12,2",BRC0227F,Nome não encontrado
Ferro,mg,"7,18","7,18",BRC0227F,Nome não encontrado
Sódio,mg,215,215,BRC0227F,Nome não encontrado
Magnésio,mg,"12,8","12,8",BRC0227F,Nome não encontrado
Fósforo,mg,163,163,BRC0227F,Nome não encontrado
Potássio,mg,198,198,BRC0227F,Nome não encontrado
Manganês,mg,"0,10","0,10",BRC0227F,Nome não encontrado
Zinco,mg,"1,77","1,77",BRC0227F,Nome não encontrado
Cobre,mg,"1,48","1,48",BRC0227F,Nome não encontrado
Selênio,mcg,,,BRC0227F,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0227F,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0227F,Nome não encontrado
Vitamina D,mcg,,,BRC0227F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0227F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0227F,Nome não encontrado
Riboflavina,mg,"0,11","0,11",BRC0227F,Nome não encontrado
Niacina,mg,"3,84","3,84",BRC0227F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0227F,Nome não encontrado
Vitamina B12,mcg,,,BRC0227F,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0227F,Nome não encontrado
Equivalente de folato,mcg,,,BRC0227F,Nome não encontrado
Sal de adição,g,,,BRC0227F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0227F,Nome não encontrado
Gordura de adição,g,-,-,BRC0227F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0227F,Nome não encontrado
Proteína animal,g,-,-,BRC0227F,Nome não encontrado
