componente,unidade,Valor por 100g,Xícara chá (135 mL),codigo_alimento,nome_alimento
Energia,kJ,178,240,BRC0060C,Nome não encontrado
Energia,kcal,42,56,BRC0060C,Nome não encontrado
Umidade,g,"87,7",118,BRC0060C,Nome não encontrado
Carboidrato total,g,"10,6","14,3",BRC0060C,Nome não encontrado
Carboidrato disponível,g,"8,85","11,9",BRC0060C,Nome não encontrado
Proteína,g,"0,55","0,74",BRC0060C,Nome não encontrado
Lipídios,g,"0,11","0,15",BRC0060C,Nome não encontrado
Fibra alimentar,g,"1,78","2,40",BRC0060C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0060C,Nome não encontrado
Cinzas,g,"1,04","1,41",BRC0060C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0060C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0060C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0060C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0060C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0060C,Nome não encontrado
Cálcio,mg,"3,09","4,17",BRC0060C,Nome não encontrado
Ferro,mg,"0,05","0,06",BRC0060C,Nome não encontrado
Sódio,mg,"1,37","1,84",BRC0060C,Nome não encontrado
Magnésio,mg,"2,17","2,92",BRC0060C,Nome não encontrado
Fósforo,mg,"4,12","5,56",BRC0060C,Nome não encontrado
Potássio,mg,394,532,BRC0060C,Nome não encontrado
Manganês,mg,traços,traços,BRC0060C,Nome não encontrado
Zinco,mg,"0,05","0,07",BRC0060C,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0060C,Nome não encontrado
Selênio,mcg,,,BRC0060C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0060C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0060C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0060C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0060C,Nome não encontrado
Tiamina,mg,"0,17","0,23",BRC0060C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0060C,Nome não encontrado
Niacina,mg,traços,traços,BRC0060C,Nome não encontrado
Vitamina B6,mg,"0,12","0,16",BRC0060C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0060C,Nome não encontrado
Vitamina C,mg,"27,1","36,5",BRC0060C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0060C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0060C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0060C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0060C,Nome não encontrado
Proteína vegetal,g,"0,55","0,74",BRC0060C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0060C,Nome não encontrado
