componente,unidade,Valor por 100g,Colher servir rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,415,124,BRC0004E,Nome não encontrado
Energia,kcal,98,29,BRC0004E,Nome não encontrado
Umidade,g,"76,1","22,8",BRC0004E,Nome não encontrado
Carboidrato total,g,"0,22","0,06",BRC0004E,Nome não encontrado
Carboidrato disponível,g,"0,22","0,06",BRC0004E,Nome não encontrado
Proteína,g,"19,8","5,94",BRC0004E,Nome não encontrado
Lipídios,g,"2,02","0,61",BRC0004E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0004E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0004E,Nome não encontrado
Cinzas,g,"1,84","0,55",BRC0004E,Nome não encontrado
Colesterol,mg,"84,6","25,4",BRC0004E,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,06",BRC0004E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,06",BRC0004E,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0004E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0004E,Nome não encontrado
Cálcio,mg,357,107,BRC0004E,Nome não encontrado
Ferro,mg,"2,10","0,63",BRC0004E,Nome não encontrado
Sódio,mg,360,108,BRC0004E,Nome não encontrado
Magnésio,mg,"52,2","15,7",BRC0004E,Nome não encontrado
Fósforo,mg,153,"46,1",BRC0004E,Nome não encontrado
Potássio,mg,185,"55,7",BRC0004E,Nome não encontrado
Manganês,mg,"0,07","0,02",BRC0004E,Nome não encontrado
Zinco,mg,"6,14","1,84",BRC0004E,Nome não encontrado
Cobre,mg,"0,92","0,27",BRC0004E,Nome não encontrado
Selênio,mcg,,,BRC0004E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0004E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0004E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0004E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,03","1,51",BRC0004E,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0004E,Nome não encontrado
Riboflavina,mg,"0,31","0,09",BRC0004E,Nome não encontrado
Niacina,mg,"4,17","1,25",BRC0004E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0004E,Nome não encontrado
Vitamina B12,mcg,"3,91","1,17",BRC0004E,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0004E,Nome não encontrado
Equivalente de folato,mcg,"59,9","18,0",BRC0004E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0004E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0004E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0004E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0004E,Nome não encontrado
Proteína animal,g,"19,8","5,94",BRC0004E,Nome não encontrado
