componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),Escumadeira cheia (110 g),Escumadeira rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,112,106,67,67,33,123,89,BRC0278B,Nome não encontrado
Energia,kcal,27,25,16,16,8,29,21,BRC0278B,Nome não encontrado
Umidade,g,"89,7","85,2","53,8","53,8","26,9","98,6","71,7",BRC0278B,Nome não encontrado
Carboidrato total,g,"7,41","7,04","4,44","4,44","2,22","8,15","5,92",BRC0278B,Nome não encontrado
Carboidrato disponível,g,"1,63","1,55","0,98","0,98","0,49","1,80","1,31",BRC0278B,Nome não encontrado
Proteína,g,"1,68","1,59","1,01","1,01","0,50","1,84","1,34",BRC0278B,Nome não encontrado
Lipídios,g,"0,26","0,25","0,16","0,16","0,08","0,29","0,21",BRC0278B,Nome não encontrado
Fibra alimentar,g,"5,77","5,48","3,46","3,46","1,73","6,35","4,62",BRC0278B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Cinzas,g,"0,99","0,94","0,59","0,59","0,30","1,08","0,79",BRC0278B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,05","0,03","0,03","0,01","0,05","0,04",BRC0278B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,03","0,02","0,02","0,01","0,04","0,03",BRC0278B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,12","0,08","0,08","0,04","0,14","0,10",BRC0278B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Cálcio,mg,"22,8","21,6","13,7","13,7","6,83","25,0","18,2",BRC0278B,Nome não encontrado
Ferro,mg,"0,30","0,29","0,18","0,18","0,09","0,33","0,24",BRC0278B,Nome não encontrado
Sódio,mg,127,121,"76,7","76,7","38,3",140,102,BRC0278B,Nome não encontrado
Magnésio,mg,"14,8","14,1","8,88","8,88","4,44","16,3","11,8",BRC0278B,Nome não encontrado
Fósforo,mg,"31,2","29,7","18,7","18,7","9,37","34,4","25,0",BRC0278B,Nome não encontrado
Potássio,mg,127,121,"76,4","76,4","38,2",140,101,BRC0278B,Nome não encontrado
Manganês,mg,"0,15","0,14","0,09","0,09","0,05","0,17","0,12",BRC0278B,Nome não encontrado
Zinco,mg,"0,13","0,12","0,08","0,08","0,04","0,14","0,10",BRC0278B,Nome não encontrado
Cobre,mg,"0,11","0,11","0,07","0,07","0,03","0,13","0,09",BRC0278B,Nome não encontrado
Selênio,mcg,"0,18","0,17","0,11","0,11","0,05","0,20","0,15",BRC0278B,Nome não encontrado
Vitamina A (RE),mcg,"14,7","14,0","8,83","8,83","4,41","16,2","11,8",BRC0278B,Nome não encontrado
Vitamina A (RAE),mcg,"7,36","6,99","4,41","4,41","2,21","8,09","5,88",BRC0278B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,42","0,26","0,26","0,13","0,48","0,35",BRC0278B,Nome não encontrado
Tiamina,mg,"0,05","0,05","0,03","0,03","0,02","0,06","0,04",BRC0278B,Nome não encontrado
Riboflavina,mg,"0,03","0,03","0,02","0,02","0,01","0,03","0,02",BRC0278B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0278B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0278B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Vitamina C,mg,"5,28","5,02","3,17","3,17","1,58","5,81","4,23",BRC0278B,Nome não encontrado
Equivalente de folato,mcg,"14,3","13,6","8,58","8,58","4,29","15,7","11,4",BRC0278B,Nome não encontrado
Sal de adição,g,"0,32","0,30","0,19","0,19","0,10","0,35","0,26",BRC0278B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0278B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0278B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0278B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0278B,Nome não encontrado
