componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,11,25,17,21,BRC0013H,Nome não encontrado
Energia,kcal,3,6,4,5,BRC0013H,Nome não encontrado
Umidade,g,"99,4",238,163,198,BRC0013H,Nome não encontrado
Carboidrato total,g,"0,63","1,51","1,04","1,26",BRC0013H,Nome não encontrado
Carboidrato disponível,g,"0,63","1,51","1,04","1,26",BRC0013H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Cálcio,mg,"0,25","0,60","0,42","0,50",BRC0013H,Nome não encontrado
Ferro,mg,traços,traços,traços,,BRC0013H,Nome não encontrado
Sódio,mg,traços,traços,traços,,BRC0013H,Nome não encontrado
Magnésio,mg,"0,96","2,29","1,58","1,91",BRC0013H,Nome não encontrado
Fósforo,mg,"1,51","3,63","2,49","3,02",BRC0013H,Nome não encontrado
Potássio,mg,"13,4","32,3","22,2","26,9",BRC0013H,Nome não encontrado
Manganês,mg,"0,09","0,21","0,15","0,18",BRC0013H,Nome não encontrado
Zinco,mg,traços,traços,traços,,BRC0013H,Nome não encontrado
Cobre,mg,traços,traços,traços,,BRC0013H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Tiamina,mg,,,,,BRC0013H,Nome não encontrado
Riboflavina,mg,"0,48","1,16","0,80","0,97",BRC0013H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0013H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0013H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0013H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0013H,Nome não encontrado
