componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,167,33,217,BRC0268B,Nome não encontrado
Energia,kcal,40,7,51,BRC0268B,Nome não encontrado
Umidade,g,"90,3","18,1",117,BRC0268B,Nome não encontrado
Carboidrato total,g,"6,27","1,25","8,15",BRC0268B,Nome não encontrado
Carboidrato disponível,g,"4,85","0,97","6,31",BRC0268B,Nome não encontrado
Proteína,g,"0,93","0,19","1,20",BRC0268B,Nome não encontrado
Lipídios,g,"1,55","0,31","2,02",BRC0268B,Nome não encontrado
Fibra alimentar,g,"1,42","0,28","1,84",BRC0268B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Cinzas,g,"0,91","0,18","1,18",BRC0268B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,05","0,30",BRC0268B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,37","0,07","0,48",BRC0268B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,16","1,06",BRC0268B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0268B,Nome não encontrado
Cálcio,mg,"8,72","1,74","11,3",BRC0268B,Nome não encontrado
Ferro,mg,"0,24","0,05","0,32",BRC0268B,Nome não encontrado
Sódio,mg,189,"37,8",245,BRC0268B,Nome não encontrado
Magnésio,mg,"6,00","1,20","7,79",BRC0268B,Nome não encontrado
Fósforo,mg,"21,6","4,31","28,0",BRC0268B,Nome não encontrado
Potássio,mg,127,"25,4",165,BRC0268B,Nome não encontrado
Manganês,mg,"0,15","0,03","0,20",BRC0268B,Nome não encontrado
Zinco,mg,"0,17","0,03","0,22",BRC0268B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0268B,Nome não encontrado
Selênio,mcg,"0,61","0,12","0,79",BRC0268B,Nome não encontrado
Vitamina A (RE),mcg,327,"65,4",425,BRC0268B,Nome não encontrado
Vitamina A (RAE),mcg,164,"32,8",213,BRC0268B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,96","0,79","5,15",BRC0268B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0268B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Niacina,mg,"0,06","0,01","0,08",BRC0268B,Nome não encontrado
Vitamina B6,mg,"0,06","0,01","0,07",BRC0268B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Vitamina C,mg,"4,29","0,86","5,58",BRC0268B,Nome não encontrado
Equivalente de folato,mcg,"6,92","1,38","8,99",BRC0268B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0268B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0268B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0268B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0268B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0268B,Nome não encontrado
