componente,unidade,Valor por 100g,Colher sopa rasa (15 mL),codigo_alimento,nome_alimento
Energia,kJ,248,37,BRC0190T,Nome não encontrado
Energia,kcal,58,8,BRC0190T,Nome não encontrado
Umidade,g,"70,6","10,6",BRC0190T,Nome não encontrado
Carboidrato total,g,"11,7","1,76",BRC0190T,Nome não encontrado
Carboidrato disponível,g,"11,7","1,75",BRC0190T,Nome não encontrado
Proteína,g,"2,82","0,42",BRC0190T,Nome não encontrado
Lipídios,g,"0,04","0,01",BRC0190T,Nome não encontrado
Fibra alimentar,g,"0,01","0,00",BRC0190T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0190T,Nome não encontrado
Cinzas,g,"14,9","2,23",BRC0190T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0190T,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0190T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0190T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,00",BRC0190T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0190T,Nome não encontrado
Cálcio,mg,"14,6","2,18",BRC0190T,Nome não encontrado
Ferro,mg,"0,50","0,07",BRC0190T,Nome não encontrado
Sódio,mg,5032,754,BRC0190T,Nome não encontrado
Magnésio,mg,"23,7","3,55",BRC0190T,Nome não encontrado
Fósforo,mg,"47,1","7,07",BRC0190T,Nome não encontrado
Potássio,mg,165,"24,8",BRC0190T,Nome não encontrado
Manganês,mg,"0,07","0,01",BRC0190T,Nome não encontrado
Zinco,mg,"0,19","0,03",BRC0190T,Nome não encontrado
Cobre,mg,traços,traços,BRC0190T,Nome não encontrado
Selênio,mcg,,,BRC0190T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0190T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0190T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0190T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0190T,Nome não encontrado
Tiamina,mg,"0,83","0,12",BRC0190T,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0190T,Nome não encontrado
Niacina,mg,"2,10","0,32",BRC0190T,Nome não encontrado
Vitamina B6,mg,"0,15","0,02",BRC0190T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0190T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0190T,Nome não encontrado
Equivalente de folato,mcg,"4,12","0,62",BRC0190T,Nome não encontrado
Sal de adição,g,,,BRC0190T,Nome não encontrado
Açúcar de adição,g,,,BRC0190T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0190T,Nome não encontrado
Proteína vegetal,g,"2,82","0,42",BRC0190T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0190T,Nome não encontrado
