componente,unidade,Valor por 100g,Colher servir cheia (75 g),Colher servir rasa (55 g),Colher sopa cheia (40 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,82,61,45,32,20,BRC0248B,Nome não encontrado
Energia,kcal,20,15,11,8,5,BRC0248B,Nome não encontrado
Umidade,g,"92,6","69,5","50,9","37,0","23,2",BRC0248B,Nome não encontrado
Carboidrato total,g,"4,28","3,21","2,35","1,71","1,07",BRC0248B,Nome não encontrado
Carboidrato disponível,g,"1,14","0,86","0,63","0,46","0,29",BRC0248B,Nome não encontrado
Proteína,g,"1,95","1,46","1,07","0,78","0,49",BRC0248B,Nome não encontrado
Lipídios,g,"0,10","0,08","0,06","0,04","0,03",BRC0248B,Nome não encontrado
Fibra alimentar,g,"3,14","2,35","1,73","1,26","0,78",BRC0248B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Cinzas,g,"1,01","0,76","0,56","0,41","0,25",BRC0248B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,03","0,02","0,01","0,01",BRC0248B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,02","0,02","0,01","0,01",BRC0248B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,01","0,00",BRC0248B,Nome não encontrado
Cálcio,mg,"41,9","31,4","23,0","16,8","10,5",BRC0248B,Nome não encontrado
Ferro,mg,"0,51","0,38","0,28","0,20","0,13",BRC0248B,Nome não encontrado
Sódio,mg,147,110,"81,1","59,0","36,9",BRC0248B,Nome não encontrado
Magnésio,mg,"6,54","4,91","3,60","2,62","1,64",BRC0248B,Nome não encontrado
Fósforo,mg,"32,2","24,1","17,7","12,9","8,04",BRC0248B,Nome não encontrado
Potássio,mg,"93,9","70,4","51,7","37,6","23,5",BRC0248B,Nome não encontrado
Manganês,mg,"0,09","0,07","0,05","0,04","0,02",BRC0248B,Nome não encontrado
Zinco,mg,"0,14","0,11","0,08","0,06","0,04",BRC0248B,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,01","0,01",BRC0248B,Nome não encontrado
Selênio,mcg,"0,10","0,08","0,06","0,04","0,03",BRC0248B,Nome não encontrado
Vitamina A (RE),mcg,"6,19","4,64","3,40","2,48","1,55",BRC0248B,Nome não encontrado
Vitamina A (RAE),mcg,"3,10","2,32","1,70","1,24","0,77",BRC0248B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,05","0,04","0,03","0,02",BRC0248B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03","0,02","0,01",BRC0248B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,01","0,00",BRC0248B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0248B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,02","0,01","0,01",BRC0248B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Vitamina C,mg,"8,96","6,72","4,93","3,58","2,24",BRC0248B,Nome não encontrado
Equivalente de folato,mcg,"4,01","3,01","2,21","1,60","1,00",BRC0248B,Nome não encontrado
Sal de adição,g,"0,32","0,24","0,18","0,13","0,08",BRC0248B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0248B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0248B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0248B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0248B,Nome não encontrado
