componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,510,1223,841,BRC0134H,Nome não encontrado
Energia,kcal,122,292,200,BRC0134H,Nome não encontrado
Umidade,g,"76,6",183,126,BRC0134H,Nome não encontrado
Carboidrato total,g,"12,3","29,4","20,2",BRC0134H,Nome não encontrado
Carboidrato disponível,g,"12,2","29,2","20,1",BRC0134H,Nome não encontrado
Proteína,g,"1,28","3,06","2,11",BRC0134H,Nome não encontrado
Lipídios,g,"1,04","2,51","1,72",BRC0134H,Nome não encontrado
Fibra alimentar,g,"0,11","0,27","0,18",BRC0134H,Nome não encontrado
Álcool,g,"8,35","20,0","13,8",BRC0134H,Nome não encontrado
Cinzas,g,"0,44","1,05","0,72",BRC0134H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0134H,Nome não encontrado
Ácidos graxos saturados,g,"0,63","1,52","1,04",BRC0134H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,26","0,62","0,43",BRC0134H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,10","0,07",BRC0134H,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,08","0,06",BRC0134H,Nome não encontrado
Cálcio,mg,"44,7",107,"73,8",BRC0134H,Nome não encontrado
Ferro,mg,"0,38","0,91","0,63",BRC0134H,Nome não encontrado
Sódio,mg,"16,3","39,1","26,9",BRC0134H,Nome não encontrado
Magnésio,mg,"10,5","25,3","17,4",BRC0134H,Nome não encontrado
Fósforo,mg,"34,7","83,4","57,3",BRC0134H,Nome não encontrado
Potássio,mg,130,313,215,BRC0134H,Nome não encontrado
Manganês,mg,"0,32","0,77","0,53",BRC0134H,Nome não encontrado
Zinco,mg,"0,21","0,50","0,35",BRC0134H,Nome não encontrado
Cobre,mg,"0,06","0,13","0,09",BRC0134H,Nome não encontrado
Selênio,mcg,"2,43","5,84","4,01",BRC0134H,Nome não encontrado
Vitamina A (RE),mcg,"8,21","19,7","13,6",BRC0134H,Nome não encontrado
Vitamina A (RAE),mcg,"8,08","19,4","13,3",BRC0134H,Nome não encontrado
Vitamina D,mcg,"0,02","0,06","0,04",BRC0134H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,06","0,04",BRC0134H,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0134H,Nome não encontrado
Riboflavina,mg,"0,07","0,17","0,12",BRC0134H,Nome não encontrado
Niacina,mg,"0,14","0,33","0,23",BRC0134H,Nome não encontrado
Vitamina B6,mg,"0,13","0,31","0,22",BRC0134H,Nome não encontrado
Vitamina B12,mcg,"0,07","0,16","0,11",BRC0134H,Nome não encontrado
Vitamina C,mg,"3,63","8,72","5,99",BRC0134H,Nome não encontrado
Equivalente de folato,mcg,"3,61","8,67","5,96",BRC0134H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0134H,Nome não encontrado
Açúcar de adição,g,,,,BRC0134H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0134H,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0134H,Nome não encontrado
Proteína animal,g,-,-,-,BRC0134H,Nome não encontrado
