componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,107,256,176,213,BRC0053H,Nome não encontrado
Energia,kcal,25,60,41,50,BRC0053H,Nome não encontrado
Umidade,g,"93,7",224,154,187,BRC0053H,Nome não encontrado
Carboidrato total,g,"6,27","15,0","10,3","12,5",BRC0053H,Nome não encontrado
Carboidrato disponível,g,"6,27","15,0","10,3","12,5",BRC0053H,Nome não encontrado
Proteína,g,"0,02","0,05","0,03","0,04",BRC0053H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Cinzas,g,"0,03","0,07","0,05","0,06",BRC0053H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Cálcio,mg,"4,57","11,0","7,54","9,13",BRC0053H,Nome não encontrado
Ferro,mg,"0,13","0,31","0,21","0,26",BRC0053H,Nome não encontrado
Sódio,mg,"1,34","3,20","2,20","2,67",BRC0053H,Nome não encontrado
Magnésio,mg,"2,46","5,90","4,06","4,92",BRC0053H,Nome não encontrado
Fósforo,mg,"1,38","3,30","2,27","2,75",BRC0053H,Nome não encontrado
Potássio,mg,"19,9","47,9","32,9","39,9",BRC0053H,Nome não encontrado
Manganês,mg,"0,13","0,31","0,21","0,26",BRC0053H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,02","0,02",BRC0053H,Nome não encontrado
Cobre,mg,"0,00","0,01","0,00","0,01",BRC0053H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Tiamina,mg,"1,16","2,78","1,91","2,32",BRC0053H,Nome não encontrado
Riboflavina,mg,"0,22","0,52","0,35","0,43",BRC0053H,Nome não encontrado
Niacina,mg,traços,traços,traços,,BRC0053H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0053H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0053H,Nome não encontrado
Equivalente de folato,mcg,"1,23","2,94","2,02","2,45",BRC0053H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0053H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0053H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0053H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0053H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0053H,Nome não encontrado
