componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,501,250,551,450,BRC0221A,Nome não encontrado
Energia,kcal,119,59,130,106,BRC0221A,Nome não encontrado
Umidade,g,"73,3","36,7","80,7","66,0",BRC0221A,Nome não encontrado
Carboidrato total,g,"20,6","10,3","22,6","18,5",BRC0221A,Nome não encontrado
Carboidrato disponível,g,"19,7","9,86","21,7","17,7",BRC0221A,Nome não encontrado
Proteína,g,"2,79","1,39","3,07","2,51",BRC0221A,Nome não encontrado
Lipídios,g,"3,02","1,51","3,33","2,72",BRC0221A,Nome não encontrado
Fibra alimentar,g,"0,86","0,43","0,95","0,78",BRC0221A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0221A,Nome não encontrado
Cinzas,g,"0,26","0,13","0,29","0,24",BRC0221A,Nome não encontrado
Colesterol,mg,"4,30","2,15","4,73","3,87",BRC0221A,Nome não encontrado
Ácidos graxos saturados,g,"0,51","0,26","0,56","0,46",BRC0221A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,99","1,00","2,19","1,79",BRC0221A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,43","0,22","0,48","0,39",BRC0221A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,03","0,02",BRC0221A,Nome não encontrado
Cálcio,mg,"11,4","5,72","12,6","10,3",BRC0221A,Nome não encontrado
Ferro,mg,"0,93","0,46","1,02","0,84",BRC0221A,Nome não encontrado
Sódio,mg,"2,79","1,39","3,07","2,51",BRC0221A,Nome não encontrado
Magnésio,mg,"2,52","1,26","2,77","2,27",BRC0221A,Nome não encontrado
Fósforo,mg,"33,8","16,9","37,2","30,4",BRC0221A,Nome não encontrado
Potássio,mg,"72,6","36,3","79,9","65,4",BRC0221A,Nome não encontrado
Manganês,mg,"0,09","0,05","0,10","0,08",BRC0221A,Nome não encontrado
Zinco,mg,"0,37","0,18","0,40","0,33",BRC0221A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0221A,Nome não encontrado
Selênio,mcg,"1,29","0,65","1,42","1,16",BRC0221A,Nome não encontrado
Vitamina A (RE),mcg,"30,6","15,3","33,6","27,5",BRC0221A,Nome não encontrado
Vitamina A (RAE),mcg,"15,3","7,64","16,8","13,8",BRC0221A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0221A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,55","0,27","0,60","0,49",BRC0221A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,03",BRC0221A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,02",BRC0221A,Nome não encontrado
Niacina,mg,"0,98","0,49","1,08","0,88",BRC0221A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,04","0,03",BRC0221A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0221A,Nome não encontrado
Vitamina C,mg,"2,85","1,43","3,14","2,57",BRC0221A,Nome não encontrado
Equivalente de folato,mcg,"52,8","26,4","58,1","47,5",BRC0221A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0221A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0221A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0221A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0221A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0221A,Nome não encontrado
