componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,653,195,BRC0062K,Nome não encontrado
Energia,kcal,155,46,BRC0062K,Nome não encontrado
Umidade,g,"67,0","20,1",BRC0062K,Nome não encontrado
Carboidrato total,g,"21,9","6,56",BRC0062K,Nome não encontrado
Carboidrato disponível,g,"21,8","6,53",BRC0062K,Nome não encontrado
Proteína,g,"5,17","1,55",BRC0062K,Nome não encontrado
Lipídios,g,"5,26","1,58",BRC0062K,Nome não encontrado
Fibra alimentar,g,"0,12","0,04",BRC0062K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0062K,Nome não encontrado
Cinzas,g,"0,73","0,22",BRC0062K,Nome não encontrado
Colesterol,mg,"46,0","13,8",BRC0062K,Nome não encontrado
Ácidos graxos saturados,g,"3,01","0,90",BRC0062K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,65","0,50",BRC0062K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,29","0,09",BRC0062K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0062K,Nome não encontrado
Cálcio,mg,"85,6","25,7",BRC0062K,Nome não encontrado
Ferro,mg,"0,49","0,15",BRC0062K,Nome não encontrado
Sódio,mg,"33,9","10,2",BRC0062K,Nome não encontrado
Magnésio,mg,"17,8","5,35",BRC0062K,Nome não encontrado
Fósforo,mg,104,"31,3",BRC0062K,Nome não encontrado
Potássio,mg,127,"38,2",BRC0062K,Nome não encontrado
Manganês,mg,,,BRC0062K,Nome não encontrado
Zinco,mg,"0,57","0,17",BRC0062K,Nome não encontrado
Cobre,mg,,,BRC0062K,Nome não encontrado
Selênio,mcg,,,BRC0062K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0062K,Nome não encontrado
Vitamina A (RAE),mcg,"46,0","13,8",BRC0062K,Nome não encontrado
Vitamina D,mcg,,,BRC0062K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","0,41",BRC0062K,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0062K,Nome não encontrado
Riboflavina,mg,"0,18","0,05",BRC0062K,Nome não encontrado
Niacina,mg,"0,05","0,02",BRC0062K,Nome não encontrado
Vitamina B6,mg,"0,05","0,02",BRC0062K,Nome não encontrado
Vitamina B12,mcg,"0,42","0,13",BRC0062K,Nome não encontrado
Vitamina C,mg,"0,09","0,03",BRC0062K,Nome não encontrado
Equivalente de folato,mcg,"13,4","4,01",BRC0062K,Nome não encontrado
Sal de adição,g,,,BRC0062K,Nome não encontrado
Açúcar de adição,g,,,BRC0062K,Nome não encontrado
Gordura de adição,g,,,BRC0062K,Nome não encontrado
Proteína vegetal,g,,,BRC0062K,Nome não encontrado
Proteína animal,g,,,BRC0062K,Nome não encontrado
