componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,302,393,BRC0125B,Nome não encontrado
Energia,kcal,72,93,BRC0125B,Nome não encontrado
Umidade,g,"79,4",103,BRC0125B,Nome não encontrado
Carboidrato total,g,"13,3","17,2",BRC0125B,Nome não encontrado
Carboidrato disponível,g,"6,40","8,32",BRC0125B,Nome não encontrado
Proteína,g,"5,55","7,22",BRC0125B,Nome não encontrado
Lipídios,g,"1,20","1,56",BRC0125B,Nome não encontrado
Fibra alimentar,g,"6,85","8,91",BRC0125B,Nome não encontrado
Álcool,g,,,BRC0125B,Nome não encontrado
Cinzas,g,"0,63","0,82",BRC0125B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0125B,Nome não encontrado
Ácidos graxos saturados,g,"0,58","0,75",BRC0125B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,41","0,53",BRC0125B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,20",BRC0125B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0125B,Nome não encontrado
Cálcio,mg,"13,8","17,9",BRC0125B,Nome não encontrado
Ferro,mg,"0,97","1,26",BRC0125B,Nome não encontrado
Sódio,mg,445,579,BRC0125B,Nome não encontrado
Magnésio,mg,"19,7","25,6",BRC0125B,Nome não encontrado
Fósforo,mg,"62,3","81,0",BRC0125B,Nome não encontrado
Potássio,mg,"95,1",123,BRC0125B,Nome não encontrado
Manganês,mg,,,BRC0125B,Nome não encontrado
Zinco,mg,"0,85","1,11",BRC0125B,Nome não encontrado
Cobre,mg,,,BRC0125B,Nome não encontrado
Selênio,mcg,,,BRC0125B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0125B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0125B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0125B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,13",BRC0125B,Nome não encontrado
Tiamina,mg,"0,05","0,07",BRC0125B,Nome não encontrado
Riboflavina,mg,"0,03","0,04",BRC0125B,Nome não encontrado
Niacina,mg,"0,62","0,80",BRC0125B,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0125B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0125B,Nome não encontrado
Vitamina C,mg,"0,85","1,11",BRC0125B,Nome não encontrado
Equivalente de folato,mcg,"0,66","0,85",BRC0125B,Nome não encontrado
Sal de adição,g,,,BRC0125B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0125B,Nome não encontrado
Gordura de adição,g,,,BRC0125B,Nome não encontrado
Proteína vegetal,g,,,BRC0125B,Nome não encontrado
Proteína animal,g,,,BRC0125B,Nome não encontrado
