componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,7,13,BRC0021H,Nome não encontrado
Energia,kcal,2,3,BRC0021H,Nome não encontrado
Umidade,g,"99,6",199,BRC0021H,Nome não encontrado
Carboidrato total,g,"0,39","0,78",BRC0021H,Nome não encontrado
Carboidrato disponível,g,"0,39","0,78",BRC0021H,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0021H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0021H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0021H,Nome não encontrado
Álcool,g,,,BRC0021H,Nome não encontrado
Cinzas,g,"0,00","0,00",BRC0021H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0021H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0021H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0021H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0021H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0021H,Nome não encontrado
Cálcio,mg,"1,93","3,86",BRC0021H,Nome não encontrado
Ferro,mg,traços,,BRC0021H,Nome não encontrado
Sódio,mg,"0,63","1,25",BRC0021H,Nome não encontrado
Magnésio,mg,"0,88","1,76",BRC0021H,Nome não encontrado
Fósforo,mg,"0,65","1,30",BRC0021H,Nome não encontrado
Potássio,mg,"9,93","19,9",BRC0021H,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0021H,Nome não encontrado
Zinco,mg,traços,,BRC0021H,Nome não encontrado
Cobre,mg,traços,,BRC0021H,Nome não encontrado
Selênio,mcg,,,BRC0021H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0021H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0021H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0021H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0021H,Nome não encontrado
Tiamina,mg,"1,23","2,47",BRC0021H,Nome não encontrado
Riboflavina,mg,"0,23","0,45",BRC0021H,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0021H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0021H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0021H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0021H,Nome não encontrado
Equivalente de folato,mcg,"1,30","2,61",BRC0021H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0021H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0021H,Nome não encontrado
Gordura de adição,g,-,-,BRC0021H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0021H,Nome não encontrado
Proteína animal,g,-,-,BRC0021H,Nome não encontrado
