componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1559,233,BRC0022A,Nome não encontrado
Energia,kcal,370,55,BRC0022A,Nome não encontrado
Umidade,g,"9,80","1,47",BRC0022A,Nome não encontrado
Carboidrato total,g,"67,0","10,1",BRC0022A,Nome não encontrado
Carboidrato disponível,g,"56,7","8,51",BRC0022A,Nome não encontrado
Proteína,g,"14,9","2,24",BRC0022A,Nome não encontrado
Lipídios,g,"7,00","1,05",BRC0022A,Nome não encontrado
Fibra alimentar,g,"10,3","1,54",BRC0022A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0022A,Nome não encontrado
Cinzas,g,"1,30","0,20",BRC0022A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0022A,Nome não encontrado
Ácidos graxos saturados,g,"1,27","0,19",BRC0022A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,60","0,39",BRC0022A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,49","0,37",BRC0022A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0022A,Nome não encontrado
Cálcio,mg,"47,5","7,13",BRC0022A,Nome não encontrado
Ferro,mg,"4,41","0,66",BRC0022A,Nome não encontrado
Sódio,mg,"4,59","0,69",BRC0022A,Nome não encontrado
Magnésio,mg,117,"17,7",BRC0022A,Nome não encontrado
Fósforo,mg,152,"22,8",BRC0022A,Nome não encontrado
Potássio,mg,333,"50,1",BRC0022A,Nome não encontrado
Manganês,mg,"1,88","0,28",BRC0022A,Nome não encontrado
Zinco,mg,"2,61","0,39",BRC0022A,Nome não encontrado
Cobre,mg,"0,44","0,07",BRC0022A,Nome não encontrado
Selênio,mcg,,,BRC0022A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0022A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0022A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0022A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0022A,Nome não encontrado
Tiamina,mg,"0,55","0,08",BRC0022A,Nome não encontrado
Riboflavina,mg,"0,03","0,00",BRC0022A,Nome não encontrado
Niacina,mg,"4,44","0,67",BRC0022A,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0022A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0022A,Nome não encontrado
Vitamina C,mg,"1,34","0,20",BRC0022A,Nome não encontrado
Equivalente de folato,mcg,"55,0","8,26",BRC0022A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0022A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0022A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0022A,Nome não encontrado
Proteína vegetal,g,"14,9","2,24",BRC0022A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0022A,Nome não encontrado
