componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,2768,221,110,636,359,885,525,BRC0004D,Nome não encontrado
Energia,kcal,673,53,26,154,87,215,127,BRC0004D,Nome não encontrado
Umidade,g,"23,8","1,90","0,95","5,47","3,09","7,60","4,52",BRC0004D,Nome não encontrado
Carboidrato total,g,"0,52","0,04","0,02","0,12","0,07","0,17","0,10",BRC0004D,Nome não encontrado
Carboidrato disponível,g,"0,52","0,04","0,02","0,12","0,07","0,17","0,10",BRC0004D,Nome não encontrado
Proteína,g,"0,39","0,03","0,02","0,09","0,05","0,12","0,07",BRC0004D,Nome não encontrado
Lipídios,g,"74,4","5,95","2,98","17,1","9,67","23,8","14,1",BRC0004D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Cinzas,g,"0,93","0,07","0,04","0,21","0,12","0,30","0,18",BRC0004D,Nome não encontrado
Colesterol,mg,147,"11,8","5,91","34,0","19,2","47,3","28,1",BRC0004D,Nome não encontrado
Ácidos graxos saturados,g,"44,9","3,59","1,80","10,3","5,84","14,4","8,54",BRC0004D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"21,2","1,69","0,85","4,86","2,75","6,77","4,02",BRC0004D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,35","0,11","0,05","0,31","0,18","0,43","0,26",BRC0004D,Nome não encontrado
Ácidos graxos trans,g,"3,06","0,24","0,12","0,70","0,40","0,98","0,58",BRC0004D,Nome não encontrado
Cálcio,mg,"5,78","0,46","0,23","1,33","0,75","1,85","1,10",BRC0004D,Nome não encontrado
Ferro,mg,"0,08","0,01","0,00","0,02","0,01","0,03","0,02",BRC0004D,Nome não encontrado
Sódio,mg,324,"25,9","13,0","74,6","42,1",103,"61,6",BRC0004D,Nome não encontrado
Magnésio,mg,"1,45","0,12","0,06","0,33","0,19","0,46","0,28",BRC0004D,Nome não encontrado
Fósforo,mg,"17,4","1,39","0,70","4,00","2,26","5,56","3,30",BRC0004D,Nome não encontrado
Potássio,mg,"9,99","0,80","0,40","2,30","1,30","3,20","1,90",BRC0004D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Cobre,mg,"0,02","0,00","0,00","0,00","0,00","0,01","0,00",BRC0004D,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0004D,Nome não encontrado
Vitamina A (RE),mcg,,,,,,,,BRC0004D,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,,,BRC0004D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,13","0,17","0,09","0,49","0,28","0,68","0,40",BRC0004D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Vitamina B12,mcg,"0,16","0,01","0,01","0,04","0,02","0,05","0,03",BRC0004D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,BRC0004D,Nome não encontrado
Equivalente de folato,mcg,"2,79","0,22","0,11","0,64","0,36","0,89","0,53",BRC0004D,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0004D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Gordura de adição,g,"64,4","5,15","2,58","14,8","8,37","20,6","12,2",BRC0004D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0004D,Nome não encontrado
Proteína animal,g,"0,39","0,03","0,02","0,09","0,05","0,12","0,07",BRC0004D,Nome não encontrado
