componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,108,38,17,107,75,53,BRC0228B,Nome não encontrado
Energia,kcal,26,9,4,25,17,12,BRC0228B,Nome não encontrado
Umidade,g,"91,5","32,9","14,6","91,5","64,1","45,8",BRC0228B,Nome não encontrado
Carboidrato total,g,"6,65","2,40","1,06","6,65","4,66","3,33",BRC0228B,Nome não encontrado
Carboidrato disponível,g,"4,15","1,50","0,66","4,15","2,91","2,08",BRC0228B,Nome não encontrado
Proteína,g,"0,73","0,26","0,12","0,73","0,51","0,36",BRC0228B,Nome não encontrado
Lipídios,g,"0,13","0,05","0,02","0,13","0,09","0,06",BRC0228B,Nome não encontrado
Fibra alimentar,g,"2,50","0,90","0,40","2,50","1,75","1,25",BRC0228B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Cinzas,g,"0,97","0,35","0,15","0,97","0,68","0,48",BRC0228B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,00","0,03","0,02","0,01",BRC0228B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,02","0,01","0,01",BRC0228B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0228B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Cálcio,mg,"9,17","3,30","1,47","9,17","6,42","4,58",BRC0228B,Nome não encontrado
Ferro,mg,"0,23","0,08","0,04","0,23","0,16","0,11",BRC0228B,Nome não encontrado
Sódio,mg,128,"46,2","20,5",128,"89,9","64,2",BRC0228B,Nome não encontrado
Magnésio,mg,"4,84","1,74","0,77","4,84","3,39","2,42",BRC0228B,Nome não encontrado
Fósforo,mg,"30,9","11,1","4,95","30,9","21,6","15,5",BRC0228B,Nome não encontrado
Potássio,mg,143,"51,6","22,9",143,100,"71,7",BRC0228B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,01","0,07","0,05","0,04",BRC0228B,Nome não encontrado
Zinco,mg,"0,14","0,05","0,02","0,14","0,10","0,07",BRC0228B,Nome não encontrado
Cobre,mg,"0,09","0,03","0,02","0,09","0,07","0,05",BRC0228B,Nome não encontrado
Selênio,mcg,"1,08","0,39","0,17","1,08","0,75","0,54",BRC0228B,Nome não encontrado
Vitamina A (RE),mcg,525,189,"84,1",525,367,262,BRC0228B,Nome não encontrado
Vitamina A (RAE),mcg,262,"94,6","42,0",262,183,131,BRC0228B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,38","0,50","0,22","1,38","0,97","0,69",BRC0228B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,BRC0228B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0228B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0228B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,04","0,03","0,02",BRC0228B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Vitamina C,mg,"1,48","0,53","0,24","1,48","1,03","0,74",BRC0228B,Nome não encontrado
Equivalente de folato,mcg,"7,76","2,79","1,24","7,76","5,43","3,88",BRC0228B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0228B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0228B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0228B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0228B,Nome não encontrado
