componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,727,363,800,654,BRC1096A,Nome não encontrado
Energia,kcal,173,86,190,155,BRC1096A,Nome não encontrado
Umidade,g,"63,8","31,9","70,2","57,4",BRC1096A,Nome não encontrado
Carboidrato total,g,"20,5","10,2","22,5","18,4",BRC1096A,Nome não encontrado
Carboidrato disponível,g,"19,6","9,79","21,5","17,6",BRC1096A,Nome não encontrado
Proteína,g,"8,39","4,19","9,23","7,55",BRC1096A,Nome não encontrado
Lipídios,g,"6,61","3,31","7,28","5,95",BRC1096A,Nome não encontrado
Fibra alimentar,g,"0,90","0,45","0,99","0,81",BRC1096A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1096A,Nome não encontrado
Cinzas,g,"0,69","0,34","0,75","0,62",BRC1096A,Nome não encontrado
Colesterol,mg,"12,3","6,13","13,5","11,0",BRC1096A,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,71","1,57","1,28",BRC1096A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,75","0,88","1,93","1,58",BRC1096A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,16","1,58","3,48","2,85",BRC1096A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,09","0,07",BRC1096A,Nome não encontrado
Cálcio,mg,"10,0","5,01","11,0","9,02",BRC1096A,Nome não encontrado
Ferro,mg,"0,71","0,36","0,78","0,64",BRC1096A,Nome não encontrado
Sódio,mg,132,"66,3",145,119,BRC1096A,Nome não encontrado
Magnésio,mg,"4,21","2,11","4,63","3,79",BRC1096A,Nome não encontrado
Fósforo,mg,"65,8","32,9","72,4","59,2",BRC1096A,Nome não encontrado
Potássio,mg,105,"53,0",116,"95,3",BRC1096A,Nome não encontrado
Manganês,mg,"0,19","0,09","0,20","0,17",BRC1096A,Nome não encontrado
Zinco,mg,"1,46","0,73","1,61","1,32",BRC1096A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,08","0,07",BRC1096A,Nome não encontrado
Selênio,mcg,"1,38","0,69","1,52","1,24",BRC1096A,Nome não encontrado
Vitamina A (RE),mcg,"8,72","4,36","9,59","7,84",BRC1096A,Nome não encontrado
Vitamina A (RAE),mcg,"4,58","2,29","5,04","4,13",BRC1096A,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,06","0,05",BRC1096A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,18","0,39","0,32",BRC1096A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,04",BRC1096A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01","0,01",BRC1096A,Nome não encontrado
Niacina,mg,"1,25","0,62","1,37","1,12",BRC1096A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,04","0,03",BRC1096A,Nome não encontrado
Vitamina B12,mcg,"0,24","0,12","0,27","0,22",BRC1096A,Nome não encontrado
Vitamina C,mg,"1,56","0,78","1,72","1,40",BRC1096A,Nome não encontrado
Equivalente de folato,mcg,"50,3","25,2","55,4","45,3",BRC1096A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1096A,Nome não encontrado
Açúcar de adição,g,"0,32","0,16","0,35","0,29",BRC1096A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1096A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1096A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1096A,Nome não encontrado
