componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,297,594,BRC0111H,Nome não encontrado
Energia,kcal,71,142,BRC0111H,Nome não encontrado
Umidade,g,"84,4",168,BRC0111H,Nome não encontrado
Carboidrato total,g,"10,4","20,8",BRC0111H,Nome não encontrado
Carboidrato disponível,g,"9,87","19,7",BRC0111H,Nome não encontrado
Proteína,g,"2,36","4,72",BRC0111H,Nome não encontrado
Lipídios,g,"2,30","4,60",BRC0111H,Nome não encontrado
Fibra alimentar,g,"0,53","1,06",BRC0111H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0111H,Nome não encontrado
Cinzas,g,"0,62","1,24",BRC0111H,Nome não encontrado
Colesterol,mg,"8,31","16,6",BRC0111H,Nome não encontrado
Ácidos graxos saturados,g,"1,35","2,70",BRC0111H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,64","1,28",BRC0111H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,16",BRC0111H,Nome não encontrado
Ácidos graxos trans,g,,,BRC0111H,Nome não encontrado
Cálcio,mg,"82,7",165,BRC0111H,Nome não encontrado
Ferro,mg,"0,14","0,28",BRC0111H,Nome não encontrado
Sódio,mg,"43,8","87,6",BRC0111H,Nome não encontrado
Magnésio,mg,"9,65","19,3",BRC0111H,Nome não encontrado
Fósforo,mg,"58,1",116,BRC0111H,Nome não encontrado
Potássio,mg,134,268,BRC0111H,Nome não encontrado
Manganês,mg,"0,19","0,38",BRC0111H,Nome não encontrado
Zinco,mg,"0,27","0,54",BRC0111H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0111H,Nome não encontrado
Selênio,mcg,"3,29","6,58",BRC0111H,Nome não encontrado
Vitamina A (RE),mcg,"33,2","66,4",BRC0111H,Nome não encontrado
Vitamina A (RAE),mcg,"32,8","65,6",BRC0111H,Nome não encontrado
Vitamina D,mcg,"0,80","1,60",BRC0111H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,18",BRC0111H,Nome não encontrado
Tiamina,mg,traços,,BRC0111H,Nome não encontrado
Riboflavina,mg,"0,02","0,04",BRC0111H,Nome não encontrado
Niacina,mg,"1,03","2,06",BRC0111H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0111H,Nome não encontrado
Vitamina B12,mcg,"0,24","0,48",BRC0111H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0111H,Nome não encontrado
Equivalente de folato,mcg,"3,36","6,72",BRC0111H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0111H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0111H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0111H,Nome não encontrado
Proteína vegetal,g,"0,22","0,44",BRC0111H,Nome não encontrado
Proteína animal,g,"1,96","3,92",BRC0111H,Nome não encontrado
