componente,unidade,Valor por 100g,Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1652,231,BRC0035R,Nome não encontrado
Energia,kcal,389,54,BRC0035R,Nome não encontrado
Umidade,g,"3,15","0,44",BRC0035R,Nome não encontrado
Carboidrato total,g,"71,7","10,0",BRC0035R,Nome não encontrado
Carboidrato disponível,g,"71,7","10,0",BRC0035R,Nome não encontrado
Proteína,g,"24,1","3,37",BRC0035R,Nome não encontrado
Lipídios,g,"0,45","0,06",BRC0035R,Nome não encontrado
Fibra alimentar,g,"1,01","0,14",BRC0035R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0035R,Nome não encontrado
Cinzas,g,"0,68","0,09",BRC0035R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0035R,Nome não encontrado
Ácidos graxos saturados,g,"0,45","0,06",BRC0035R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0035R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0035R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0035R,Nome não encontrado
Cálcio,mg,"16,5","2,31",BRC0035R,Nome não encontrado
Ferro,mg,"0,49","0,07",BRC0035R,Nome não encontrado
Sódio,mg,"18,9","2,65",BRC0035R,Nome não encontrado
Magnésio,mg,"8,51","1,19",BRC0035R,Nome não encontrado
Fósforo,mg,"5,37","0,75",BRC0035R,Nome não encontrado
Potássio,mg,"29,1","4,07",BRC0035R,Nome não encontrado
Manganês,mg,"0,07","0,01",BRC0035R,Nome não encontrado
Zinco,mg,"0,11","0,01",BRC0035R,Nome não encontrado
Cobre,mg,"0,24","0,03",BRC0035R,Nome não encontrado
Selênio,mcg,,,BRC0035R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0035R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0035R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0035R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0035R,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0035R,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0035R,Nome não encontrado
Niacina,mg,traços,traços,BRC0035R,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0035R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0035R,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0035R,Nome não encontrado
Equivalente de folato,mcg,"2,01","0,28",BRC0035R,Nome não encontrado
Sal de adição,g,,,BRC0035R,Nome não encontrado
Açúcar de adição,g,,,BRC0035R,Nome não encontrado
Gordura de adição,g,,,BRC0035R,Nome não encontrado
Proteína vegetal,g,,,BRC0035R,Nome não encontrado
Proteína animal,g,,,BRC0035R,Nome não encontrado
