componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,152,304,BRC0081H,Nome não encontrado
Energia,kcal,36,72,BRC0081H,Nome não encontrado
Umidade,g,"92,5",185,BRC0081H,Nome não encontrado
Carboidrato total,g,"3,63","7,26",BRC0081H,Nome não encontrado
Carboidrato disponível,g,"3,63","7,26",BRC0081H,Nome não encontrado
Proteína,g,"1,73","3,47",BRC0081H,Nome não encontrado
Lipídios,g,"1,65","3,29",BRC0081H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0081H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0081H,Nome não encontrado
Cinzas,g,"0,48","0,96",BRC0081H,Nome não encontrado
Colesterol,mg,"6,19","12,4",BRC0081H,Nome não encontrado
Ácidos graxos saturados,g,"1,01","2,02",BRC0081H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,49","0,98",BRC0081H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,12",BRC0081H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0081H,Nome não encontrado
Cálcio,mg,"54,9",109,BRC0081H,Nome não encontrado
Ferro,mg,"0,04","0,07",BRC0081H,Nome não encontrado
Sódio,mg,"32,3","64,6",BRC0081H,Nome não encontrado
Magnésio,mg,"8,72","17,4",BRC0081H,Nome não encontrado
Fósforo,mg,"44,8","89,6",BRC0081H,Nome não encontrado
Potássio,mg,128,257,BRC0081H,Nome não encontrado
Manganês,mg,"0,02","0,03",BRC0081H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0081H,Nome não encontrado
Cobre,mg,"0,01","0,02",BRC0081H,Nome não encontrado
Selênio,mcg,,,BRC0081H,Nome não encontrado
Vitamina A (RE),mcg,"24,8","49,6",BRC0081H,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","48,8",BRC0081H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0081H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,10",BRC0081H,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0081H,Nome não encontrado
Riboflavina,mg,"0,15","0,30",BRC0081H,Nome não encontrado
Niacina,mg,"0,84","1,67",BRC0081H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0081H,Nome não encontrado
Vitamina B12,mcg,"0,19","0,37",BRC0081H,Nome não encontrado
Vitamina C,mg,traços,,BRC0081H,Nome não encontrado
Equivalente de folato,mcg,"3,39","6,78",BRC0081H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0081H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0081H,Nome não encontrado
Gordura de adição,g,-,-,BRC0081H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0081H,Nome não encontrado
Proteína animal,g,-,-,BRC0081H,Nome não encontrado
