componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,940,2256,1551,BRC0133H,Nome não encontrado
Energia,kcal,224,537,369,BRC0133H,Nome não encontrado
Umidade,g,"54,0",129,"89,1",BRC0133H,Nome não encontrado
Carboidrato total,g,"31,7","76,1","52,3",BRC0133H,Nome não encontrado
Carboidrato disponível,g,"31,4","75,4","51,8",BRC0133H,Nome não encontrado
Proteína,g,"0,30","0,72","0,50",BRC0133H,Nome não encontrado
Lipídios,g,"0,04","0,10","0,07",BRC0133H,Nome não encontrado
Fibra alimentar,g,"0,32","0,77","0,53",BRC0133H,Nome não encontrado
Álcool,g,"13,7","32,9","22,6",BRC0133H,Nome não encontrado
Cinzas,g,"0,28","0,67","0,46",BRC0133H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01","0,00",BRC0133H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,01","0,00",BRC0133H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,01",BRC0133H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Cálcio,mg,"14,8","35,5","24,4",BRC0133H,Nome não encontrado
Ferro,mg,"0,08","0,19","0,13",BRC0133H,Nome não encontrado
Sódio,mg,"5,25","12,6","8,66",BRC0133H,Nome não encontrado
Magnésio,mg,"2,78","6,67","4,59",BRC0133H,Nome não encontrado
Fósforo,mg,"6,42","15,4","10,6",BRC0133H,Nome não encontrado
Potássio,mg,"36,5","87,6","60,2",BRC0133H,Nome não encontrado
Manganês,mg,"0,05","0,13","0,09",BRC0133H,Nome não encontrado
Zinco,mg,"0,06","0,14","0,10",BRC0133H,Nome não encontrado
Cobre,mg,"0,13","0,31","0,21",BRC0133H,Nome não encontrado
Selênio,mcg,"0,29","0,70","0,48",BRC0133H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,07","0,05",BRC0133H,Nome não encontrado
Tiamina,mg,"0,08","0,19","0,13",BRC0133H,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,01",BRC0133H,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0133H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0133H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Vitamina C,mg,"10,3","24,7","17,0",BRC0133H,Nome não encontrado
Equivalente de folato,mcg,"2,30","5,52","3,80",BRC0133H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0133H,Nome não encontrado
Açúcar de adição,g,"29,0","69,6","47,9",BRC0133H,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0133H,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0133H,Nome não encontrado
Proteína animal,g,-,-,-,BRC0133H,Nome não encontrado
