componente,unidade,Valor por 100g,Colher sobremesa cheia (8 g),Colher sobremesa rasa (5 g),Colher sopa cheia (10 g),Colher sopa rasa (5 g),codigo_alimento,nome_alimento
Energia,kJ,1562,124,78,156,78,BRC0044L,Nome não encontrado
Energia,kcal,377,30,18,37,18,BRC0044L,Nome não encontrado
Umidade,g,"4,10","0,33","0,21","0,41","0,21",BRC0044L,Nome não encontrado
Carboidrato total,g,"69,9","5,59","3,50","6,99","3,50",BRC0044L,Nome não encontrado
Carboidrato disponível,g,"28,5","2,28","1,43","2,85","1,43",BRC0044L,Nome não encontrado
Proteína,g,"10,4","0,83","0,52","1,04","0,52",BRC0044L,Nome não encontrado
Lipídios,g,"15,4","1,23","0,77","1,54","0,77",BRC0044L,Nome não encontrado
Fibra alimentar,g,"41,4","3,31","2,07","4,14","2,07",BRC0044L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Cinzas,g,"0,20","0,02","0,01","0,02","0,01",BRC0044L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Ácidos graxos saturados,g,"5,42","0,43","0,27","0,54","0,27",BRC0044L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,15","0,09","0,06","0,12","0,06",BRC0044L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,64","0,45","0,28","0,56","0,28",BRC0044L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Cálcio,mg,130,"10,4","6,50","13,0","6,50",BRC0044L,Nome não encontrado
Ferro,mg,"4,10","0,33","0,21","0,41","0,21",BRC0044L,Nome não encontrado
Sódio,mg,"74,0","5,92","3,70","7,40","3,70",BRC0044L,Nome não encontrado
Magnésio,mg,240,"19,2","12,0","24,0","12,0",BRC0044L,Nome não encontrado
Fósforo,mg,160,"12,8","8,00","16,0","8,00",BRC0044L,Nome não encontrado
Potássio,mg,2020,161,101,202,101,BRC0044L,Nome não encontrado
Manganês,mg,"2,10","0,17","0,11","0,21","0,11",BRC0044L,Nome não encontrado
Zinco,mg,"0,71","0,06","0,04","0,07","0,04",BRC0044L,Nome não encontrado
Cobre,mg,"0,82","0,07","0,04","0,08","0,04",BRC0044L,Nome não encontrado
Selênio,mcg,"5,00","0,40","0,25","0,50","0,25",BRC0044L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,BRC0044L,Nome não encontrado
Tiamina,mg,"0,07","0,01","0,00","0,01","0,00",BRC0044L,Nome não encontrado
Riboflavina,mg,"0,20","0,02","0,01","0,02","0,01",BRC0044L,Nome não encontrado
Niacina,mg,"10,00","0,80","0,50","1,00","0,50",BRC0044L,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,BRC0044L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Equivalente de folato,mcg,,,,,,BRC0044L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
Proteína vegetal,g,"10,4","0,83","0,52","1,04","0,52",BRC0044L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0044L,Nome não encontrado
