componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,760,1824,1254,1520,BRC0159H,Nome não encontrado
Energia,kcal,179,430,295,358,BRC0159H,Nome não encontrado
Umidade,g,"53,4",128,"88,1",106,BRC0159H,Nome não encontrado
Carboidrato total,g,"44,6",107,"73,6","89,2",BRC0159H,Nome não encontrado
Carboidrato disponível,g,"41,6","99,8","68,6","83,2",BRC0159H,Nome não encontrado
Proteína,g,"1,18","2,83","1,95","2,36",BRC0159H,Nome não encontrado
Lipídios,g,"0,24","0,59","0,40","0,49",BRC0159H,Nome não encontrado
Fibra alimentar,g,"3,01","7,23","4,97","6,02",BRC0159H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Cinzas,g,"0,58","1,39","0,95","1,16",BRC0159H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,19","0,13","0,16",BRC0159H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,24","0,17","0,20",BRC0159H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,18","0,13","0,15",BRC0159H,Nome não encontrado
Cálcio,mg,"34,1","81,8","56,2","68,2",BRC0159H,Nome não encontrado
Ferro,mg,"0,55","1,32","0,90","1,10",BRC0159H,Nome não encontrado
Sódio,mg,"1,03","2,46","1,69","2,05",BRC0159H,Nome não encontrado
Magnésio,mg,"23,4","56,1","38,6","46,7",BRC0159H,Nome não encontrado
Fósforo,mg,"25,6","61,4","42,2","51,2",BRC0159H,Nome não encontrado
Potássio,mg,248,595,409,496,BRC0159H,Nome não encontrado
Manganês,mg,"0,74","1,77","1,21","1,47",BRC0159H,Nome não encontrado
Zinco,mg,"0,21","0,50","0,34","0,42",BRC0159H,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07","0,09",BRC0159H,Nome não encontrado
Selênio,mcg,"0,53","1,26","0,87","1,05",BRC0159H,Nome não encontrado
Vitamina A (RE),mcg,"0,22","0,52","0,35","0,43",BRC0159H,Nome não encontrado
Vitamina A (RAE),mcg,"0,11","0,26","0,18","0,21",BRC0159H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16","0,38","0,26","0,32",BRC0159H,Nome não encontrado
Tiamina,mg,"0,08","0,18","0,12","0,15",BRC0159H,Nome não encontrado
Riboflavina,mg,"0,04","0,09","0,06","0,08",BRC0159H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Vitamina B6,mg,"0,02","0,05","0,03","0,04",BRC0159H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0159H,Nome não encontrado
Equivalente de folato,mcg,"22,2","53,3","36,6","44,4",BRC0159H,Nome não encontrado
Sal de adição,g,,,,,BRC0159H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0159H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0159H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0159H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0159H,Nome não encontrado
