componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,206,412,BRC0094H,Nome não encontrado
Energia,kcal,49,97,BRC0094H,Nome não encontrado
Umidade,g,"94,0",188,BRC0094H,Nome não encontrado
Carboidrato total,g,"3,71","7,41",BRC0094H,Nome não encontrado
Carboidrato disponível,g,"3,27","6,55",BRC0094H,Nome não encontrado
Proteína,g,"1,60","3,20",BRC0094H,Nome não encontrado
Lipídios,g,"0,34","0,68",BRC0094H,Nome não encontrado
Fibra alimentar,g,"0,43","0,87",BRC0094H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0094H,Nome não encontrado
Cinzas,g,"0,39","0,77",BRC0094H,Nome não encontrado
Colesterol,mg,"1,88","3,75",BRC0094H,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,11",BRC0094H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,02",BRC0094H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,12",BRC0094H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0094H,Nome não encontrado
Cálcio,mg,"68,7",137,BRC0094H,Nome não encontrado
Ferro,mg,"0,04","0,09",BRC0094H,Nome não encontrado
Sódio,mg,"26,5","53,0",BRC0094H,Nome não encontrado
Magnésio,mg,"7,65","15,3",BRC0094H,Nome não encontrado
Fósforo,mg,"44,6","89,2",BRC0094H,Nome não encontrado
Potássio,mg,"91,5",183,BRC0094H,Nome não encontrado
Manganês,mg,"0,02","0,04",BRC0094H,Nome não encontrado
Zinco,mg,"0,20","0,40",BRC0094H,Nome não encontrado
Cobre,mg,"0,02","0,04",BRC0094H,Nome não encontrado
Selênio,mcg,,,BRC0094H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0094H,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","9,00",BRC0094H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0094H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04",BRC0094H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0094H,Nome não encontrado
Riboflavina,mg,"0,14","0,27",BRC0094H,Nome não encontrado
Niacina,mg,"0,85","1,71",BRC0094H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0094H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,55",BRC0094H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0094H,Nome não encontrado
Equivalente de folato,mcg,"2,75","5,49",BRC0094H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0094H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0094H,Nome não encontrado
Gordura de adição,g,-,-,BRC0094H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0094H,Nome não encontrado
Proteína animal,g,-,-,BRC0094H,Nome não encontrado
