componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,181,433,297,BRC0162C,Nome não encontrado
Energia,kcal,42,101,70,BRC0162C,Nome não encontrado
Umidade,g,"89,3",214,147,BRC0162C,Nome não encontrado
Carboidrato total,g,"10,6","25,4","17,4",BRC0162C,Nome não encontrado
Carboidrato disponível,g,"10,5","25,2","17,3",BRC0162C,Nome não encontrado
Proteína,g,"0,07","0,17","0,12",BRC0162C,Nome não encontrado
Lipídios,g,"0,01","0,02","0,01",BRC0162C,Nome não encontrado
Fibra alimentar,g,"0,07","0,17","0,12",BRC0162C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0162C,Nome não encontrado
Cinzas,g,"0,08","0,20","0,14",BRC0162C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0162C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0162C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0162C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0162C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0162C,Nome não encontrado
Cálcio,mg,"3,41","8,18","5,62",BRC0162C,Nome não encontrado
Ferro,mg,"0,02","0,05","0,04",BRC0162C,Nome não encontrado
Sódio,mg,"1,29","3,10","2,13",BRC0162C,Nome não encontrado
Magnésio,mg,"0,64","1,53","1,05",BRC0162C,Nome não encontrado
Fósforo,mg,"1,43","3,42","2,35",BRC0162C,Nome não encontrado
Potássio,mg,"8,33","20,0","13,7",BRC0162C,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0162C,Nome não encontrado
Zinco,mg,"0,01","0,03","0,02",BRC0162C,Nome não encontrado
Cobre,mg,traços,traços,traços,BRC0162C,Nome não encontrado
Selênio,mcg,"0,09","0,21","0,14",BRC0162C,Nome não encontrado
Vitamina A (RE),mcg,"0,21","0,50","0,35",BRC0162C,Nome não encontrado
Vitamina A (RAE),mcg,"0,11","0,25","0,17",BRC0162C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0162C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,02","0,01",BRC0162C,Nome não encontrado
Tiamina,mg,"0,02","0,04","0,03",BRC0162C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0162C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0162C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0162C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0162C,Nome não encontrado
Vitamina C,mg,"2,29","5,51","3,79",BRC0162C,Nome não encontrado
Equivalente de folato,mcg,"0,51","1,23","0,85",BRC0162C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0162C,Nome não encontrado
Açúcar de adição,g,"7,00","16,8","11,6",BRC0162C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0162C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0162C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0162C,Nome não encontrado
