componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2681,804,BRC0009U,Nome não encontrado
Energia,kcal,649,194,BRC0009U,Nome não encontrado
Umidade,g,"6,25","1,87",BRC0009U,Nome não encontrado
Carboidrato total,g,"18,4","5,51",BRC0009U,Nome não encontrado
Carboidrato disponível,g,"11,1","3,33",BRC0009U,Nome não encontrado
Proteína,g,"14,0","4,19",BRC0009U,Nome não encontrado
Lipídios,g,"59,4","17,8",BRC0009U,Nome não encontrado
Fibra alimentar,g,"7,25","2,18",BRC0009U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0009U,Nome não encontrado
Cinzas,g,"2,06","0,62",BRC0009U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0009U,Nome não encontrado
Ácidos graxos saturados,g,"5,60","1,68",BRC0009U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,70","2,61",BRC0009U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"44,1","13,2",BRC0009U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0009U,Nome não encontrado
Cálcio,mg,105,"31,6",BRC0009U,Nome não encontrado
Ferro,mg,"2,04","0,61",BRC0009U,Nome não encontrado
Sódio,mg,"4,57","1,37",BRC0009U,Nome não encontrado
Magnésio,mg,152,"45,9",BRC0009U,Nome não encontrado
Fósforo,mg,396,118,BRC0009U,Nome não encontrado
Potássio,mg,533,159,BRC0009U,Nome não encontrado
Manganês,mg,"4,05","1,22",BRC0009U,Nome não encontrado
Zinco,mg,"2,06","0,62",BRC0009U,Nome não encontrado
Cobre,mg,"0,75","0,23",BRC0009U,Nome não encontrado
Selênio,mcg,"7,80","2,34",BRC0009U,Nome não encontrado
Vitamina A (RE),mcg,"12,9","3,87",BRC0009U,Nome não encontrado
Vitamina A (RAE),mcg,"6,46","1,94",BRC0009U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0009U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0009U,Nome não encontrado
Tiamina,mg,"0,38","0,11",BRC0009U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0009U,Nome não encontrado
Niacina,mg,"1,08","0,32",BRC0009U,Nome não encontrado
Vitamina B6,mg,"0,13","0,04",BRC0009U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0009U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0009U,Nome não encontrado
Equivalente de folato,mcg,"38,5","11,6",BRC0009U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0009U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0009U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0009U,Nome não encontrado
Proteína vegetal,g,"14,0","4,19",BRC0009U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0009U,Nome não encontrado
