componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,2632,210,105,605,342,842,500,BRC0008D,Nome não encontrado
Energia,kcal,640,51,25,147,83,204,121,BRC0008D,Nome não encontrado
Umidade,g,"28,6","2,28","1,14","6,57","3,71","9,14","5,43",BRC0008D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Proteína,g,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Lipídios,g,"71,1","5,69","2,85","16,4","9,25","22,8","13,5",BRC0008D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Cinzas,g,"0,99","0,08","0,04","0,23","0,13","0,32","0,19",BRC0008D,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Ácidos graxos saturados,g,"19,2","1,54","0,77","4,42","2,50","6,15","3,65",BRC0008D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"15,9","1,27","0,63","3,65","2,06","5,08","3,01",BRC0008D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"25,2","2,01","1,01","5,79","3,27","8,05","4,78",BRC0008D,Nome não encontrado
Ácidos graxos trans,g,"3,55","0,28","0,14","0,82","0,46","1,14","0,67",BRC0008D,Nome não encontrado
Cálcio,mg,"4,42","0,35","0,18","1,02","0,57","1,41","0,84",BRC0008D,Nome não encontrado
Ferro,mg,"0,07","0,01","0,00","0,02","0,01","0,02","0,01",BRC0008D,Nome não encontrado
Sódio,mg,813,"65,1","32,5",187,105,260,154,BRC0008D,Nome não encontrado
Magnésio,mg,"1,01","0,08","0,04","0,23","0,13","0,32","0,19",BRC0008D,Nome não encontrado
Fósforo,mg,"6,03","0,48","0,24","1,39","0,78","1,93","1,15",BRC0008D,Nome não encontrado
Potássio,mg,"10,7","0,85","0,43","2,45","1,39","3,41","2,03",BRC0008D,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0008D,Nome não encontrado
Vitamina A (RE),mcg,465,"37,2","18,6",106,"60,5",148,"88,4",BRC0008D,Nome não encontrado
Vitamina A (RAE),mcg,465,"37,2","18,6",106,"60,5",148,"88,4",BRC0008D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,66","0,45","0,23","1,30","0,74","1,81","1,08",BRC0008D,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Equivalente de folato,mcg,"0,97","0,08","0,04","0,22","0,13","0,31","0,18",BRC0008D,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0008D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
Gordura de adição,g,"71,1","5,69","2,85","16,4","9,25","22,8","13,5",BRC0008D,Nome não encontrado
Proteína vegetal,g,traços,traços,traços,traços,traços,traços,traços,BRC0008D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0008D,Nome não encontrado
