componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,765,191,BRC0186K,Nome não encontrado
Energia,kcal,182,45,BRC0186K,Nome não encontrado
Umidade,g,"64,4","16,1",BRC0186K,Nome não encontrado
Carboidrato total,g,"22,4","5,61",BRC0186K,Nome não encontrado
Carboidrato disponível,g,"22,4","5,61",BRC0186K,Nome não encontrado
Proteína,g,"3,93","0,98",BRC0186K,Nome não encontrado
Lipídios,g,"8,55","2,14",BRC0186K,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0186K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0186K,Nome não encontrado
Cinzas,g,"0,67","0,17",BRC0186K,Nome não encontrado
Colesterol,mg,"19,6","4,90",BRC0186K,Nome não encontrado
Ácidos graxos saturados,g,"4,66","1,17",BRC0186K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,98","0,50",BRC0186K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,19","0,05",BRC0186K,Nome não encontrado
Ácidos graxos trans,g,"0,25","0,06",BRC0186K,Nome não encontrado
Cálcio,mg,"95,0","23,8",BRC0186K,Nome não encontrado
Ferro,mg,"0,15","0,04",BRC0186K,Nome não encontrado
Sódio,mg,"57,1","14,3",BRC0186K,Nome não encontrado
Magnésio,mg,"8,67","2,17",BRC0186K,Nome não encontrado
Fósforo,mg,"87,4","21,8",BRC0186K,Nome não encontrado
Potássio,mg,127,"31,8",BRC0186K,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0186K,Nome não encontrado
Zinco,mg,"0,33","0,08",BRC0186K,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0186K,Nome não encontrado
Selênio,mcg,"5,50","1,38",BRC0186K,Nome não encontrado
Vitamina A (RE),mcg,"55,2","13,8",BRC0186K,Nome não encontrado
Vitamina A (RAE),mcg,"53,8","13,5",BRC0186K,Nome não encontrado
Vitamina D,mcg,"0,34","0,08",BRC0186K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,05",BRC0186K,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC0186K,Nome não encontrado
Riboflavina,mg,"0,12","0,03",BRC0186K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0186K,Nome não encontrado
Vitamina B6,mg,"0,16","0,04",BRC0186K,Nome não encontrado
Vitamina B12,mcg,"0,16","0,04",BRC0186K,Nome não encontrado
Vitamina C,mg,"0,60","0,15",BRC0186K,Nome não encontrado
Equivalente de folato,mcg,"4,52","1,13",BRC0186K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0186K,Nome não encontrado
Açúcar de adição,g,,,BRC0186K,Nome não encontrado
Gordura de adição,g,-,-,BRC0186K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0186K,Nome não encontrado
Proteína animal,g,-,-,BRC0186K,Nome não encontrado
