componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher sopa cheia (22 g),Concha cheia (120 g),codigo_alimento,nome_alimento
Energia,kJ,480,215,105,575,BRC0106T,Nome não encontrado
Energia,kcal,114,51,25,137,BRC0106T,Nome não encontrado
Umidade,g,"68,4","30,8","15,1","82,1",BRC0106T,Nome não encontrado
Carboidrato total,g,"20,7","9,29","4,54","24,8",BRC0106T,Nome não encontrado
Carboidrato disponível,g,"13,2","5,96","2,91","15,9",BRC0106T,Nome não encontrado
Proteína,g,"7,48","3,37","1,65","8,98",BRC0106T,Nome não encontrado
Lipídios,g,"1,84","0,83","0,41","2,21",BRC0106T,Nome não encontrado
Fibra alimentar,g,"7,42","3,34","1,63","8,90",BRC0106T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Cinzas,g,"1,60","0,72","0,35","1,92",BRC0106T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,14","0,07","0,37",BRC0106T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,21","0,10","0,57",BRC0106T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,95","0,43","0,21","1,14",BRC0106T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Cálcio,mg,"28,7","12,9","6,31","34,4",BRC0106T,Nome não encontrado
Ferro,mg,"2,42","1,09","0,53","2,90",BRC0106T,Nome não encontrado
Sódio,mg,196,"88,2","43,1",235,BRC0106T,Nome não encontrado
Magnésio,mg,"36,9","16,6","8,12","44,3",BRC0106T,Nome não encontrado
Fósforo,mg,123,"55,7","27,2",148,BRC0106T,Nome não encontrado
Potássio,mg,273,122,"60,1",327,BRC0106T,Nome não encontrado
Manganês,mg,"1,27","0,57","0,28","1,52",BRC0106T,Nome não encontrado
Zinco,mg,"2,03","0,91","0,45","2,44",BRC0106T,Nome não encontrado
Cobre,mg,"0,47","0,21","0,10","0,57",BRC0106T,Nome não encontrado
Selênio,mcg,"2,88","1,30","0,63","3,45",BRC0106T,Nome não encontrado
Vitamina A (RE),mcg,"1,90","0,85","0,42","2,28",BRC0106T,Nome não encontrado
Vitamina A (RAE),mcg,"0,95","0,43","0,21","1,14",BRC0106T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,11","0,05","0,30",BRC0106T,Nome não encontrado
Tiamina,mg,"0,11","0,05","0,02","0,13",BRC0106T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0106T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0106T,Nome não encontrado
Vitamina B6,mg,"0,56","0,25","0,12","0,67",BRC0106T,Nome não encontrado
Vitamina B12,mcg,-,-,-,-,BRC0106T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Equivalente de folato,mcg,133,"60,2","29,4",160,BRC0106T,Nome não encontrado
Sal de adição,g,"0,47","0,21","0,10","0,56",BRC0106T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0106T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0106T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0106T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0106T,Nome não encontrado
