componente,unidade,Valor por 100g,Xícara chá (200 ml),codigo_alimento,nome_alimento
Energia,kJ,212,423,BRC0165H,Nome não encontrado
Energia,kcal,50,99,BRC0165H,Nome não encontrado
Umidade,g,"87,4",174,BRC0165H,Nome não encontrado
Carboidrato total,g,"11,0","22,0",BRC0165H,Nome não encontrado
Carboidrato disponível,g,"10,9","21,7",BRC0165H,Nome não encontrado
Proteína,g,"0,47","0,94",BRC0165H,Nome não encontrado
Lipídios,g,"0,49","0,98",BRC0165H,Nome não encontrado
Fibra alimentar,g,"0,14","0,28",BRC0165H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0165H,Nome não encontrado
Cinzas,g,"0,34","0,68",BRC0165H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0165H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0165H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,64",BRC0165H,Nome não encontrado
Ácidos graxos poliinsaturados,g,147,294,BRC0165H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0165H,Nome não encontrado
Cálcio,mg,"59,7",119,BRC0165H,Nome não encontrado
Ferro,mg,"0,22","0,45",BRC0165H,Nome não encontrado
Sódio,mg,"19,6","39,1",BRC0165H,Nome não encontrado
Magnésio,mg,"11,3","22,7",BRC0165H,Nome não encontrado
Fósforo,mg,"31,5","63,1",BRC0165H,Nome não encontrado
Potássio,mg,"96,5",192,BRC0165H,Nome não encontrado
Manganês,mg,"0,27","0,54",BRC0165H,Nome não encontrado
Zinco,mg,"0,07","0,14",BRC0165H,Nome não encontrado
Cobre,mg,"17,4","34,8",BRC0165H,Nome não encontrado
Selênio,mcg,"1,03","2,07",BRC0165H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0165H,Nome não encontrado
Vitamina A (RAE),mcg,"29,6","59,2",BRC0165H,Nome não encontrado
Vitamina D,mcg,"0,47","0,94",BRC0165H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,47",BRC0165H,Nome não encontrado
Tiamina,mg,"12,7","25,4",BRC0165H,Nome não encontrado
Riboflavina,mg,"66,8",133,BRC0165H,Nome não encontrado
Niacina,mg,"0,27","0,55",BRC0165H,Nome não encontrado
Vitamina B6,mg,"18,3","36,7",BRC0165H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0165H,Nome não encontrado
Vitamina C,mg,traços,,BRC0165H,Nome não encontrado
Equivalente de folato,mcg,"1,88","3,76",BRC0165H,Nome não encontrado
Sal de adição,g,"6,00","12,0",BRC0165H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0165H,Nome não encontrado
Gordura de adição,g,-,-,BRC0165H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0165H,Nome não encontrado
Proteína animal,g,-,-,BRC0165H,Nome não encontrado
