componente,unidade,Valor por 100g,Colher sopa cheia (14 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,170,23,13,BRC0237B,Nome não encontrado
Energia,kcal,41,5,3,BRC0237B,Nome não encontrado
Umidade,g,"87,8","12,3","7,02",BRC0237B,Nome não encontrado
Carboidrato total,g,"6,84","0,96","0,55",BRC0237B,Nome não encontrado
Carboidrato disponível,g,"1,79","0,25","0,14",BRC0237B,Nome não encontrado
Proteína,g,"3,25","0,46","0,26",BRC0237B,Nome não encontrado
Lipídios,g,"1,20","0,17","0,10",BRC0237B,Nome não encontrado
Fibra alimentar,g,"5,05","0,71","0,40",BRC0237B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Cinzas,g,"0,92","0,13","0,07",BRC0237B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Ácidos graxos saturados,g,"0,26","0,04","0,02",BRC0237B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,02","0,01",BRC0237B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,52","0,07","0,04",BRC0237B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Cálcio,mg,110,"15,5","8,84",BRC0237B,Nome não encontrado
Ferro,mg,"1,62","0,23","0,13",BRC0237B,Nome não encontrado
Sódio,mg,"0,99","0,14","0,08",BRC0237B,Nome não encontrado
Magnésio,mg,"20,1","2,82","1,61",BRC0237B,Nome não encontrado
Fósforo,mg,"53,9","7,54","4,31",BRC0237B,Nome não encontrado
Potássio,mg,164,"23,1","13,2",BRC0237B,Nome não encontrado
Manganês,mg,"0,68","0,09","0,05",BRC0237B,Nome não encontrado
Zinco,mg,"0,54","0,08","0,04",BRC0237B,Nome não encontrado
Cobre,mg,"0,17","0,02","0,01",BRC0237B,Nome não encontrado
Selênio,mcg,"0,40","0,06","0,03",BRC0237B,Nome não encontrado
Vitamina A (RE),mcg,993,139,"79,5",BRC0237B,Nome não encontrado
Vitamina A (RAE),mcg,496,"69,6","39,7",BRC0237B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,26","0,46","0,26",BRC0237B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0237B,Nome não encontrado
Riboflavina,mg,"0,08","0,01","0,01",BRC0237B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0237B,Nome não encontrado
Vitamina B6,mg,"0,07","0,01","0,01",BRC0237B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Vitamina C,mg,"8,14","1,14","0,65",BRC0237B,Nome não encontrado
Equivalente de folato,mcg,"53,6","7,51","4,29",BRC0237B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
Proteína vegetal,g,"3,25","0,46","0,26",BRC0237B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0237B,Nome não encontrado
